건물명,주소,층,거래일,거래금액,면적,평,건축년도,10평보증금평균,10평월세평균,건물형태,보증금평가,월세평가,경도,위도
반도 보라 아이비 타워,효제동 45,6층,2020 1 19,"1,000/65",26.58,8.0,2003,1250.0,81.25,오피스텔,적정보증금,고월세,127.0013426,37.57479953
오르세오피스텔,용답동 238-2,5층,2020 1 21,"12,000/20",43.55,13.2,2011,5545.454545454545,37.57575757575758,오피스텔,적정보증금,고월세,127.0681075,37.5596191
	(149-50)	,독산동 149-50,2층,2020 1 29,"2,000/30",16.17,4.9,2012,4081.6326530612237,61.224489795918366,오피스텔,적정보증금,고월세,126.89729240000001,37.47313573
블라썸시티,독산동 1003-19,8층,2020 1 31,"4,000/30",22.16,6.7,2017,3337.187302922009,61.12045406768974,오피스텔,적정보증금,고월세,126.89009209999999,37.46589854
상원빌딩,신내동 492-4,3층,2020 1 7,"2,000/35",22.76,6.9,2012,2898.5507246376815,50.72463768115942,오피스텔,적정보증금,고월세,127.1002148,37.60140468
	(317-35)	,숭인동 317-35,6층,2020 2 10,"1,000/20",9.12,2.8,2003,3571.4285714285716,71.42857142857143,오피스텔,적정보증금,고월세,127.0164955,37.57186519
	(413-23)	,길동 413-23,5층,2020 2 22,300/45,21.42,6.5,2003,461.5384615384616,69.23076923076923,오피스텔,적정보증금,고월세,127.13827990000001,37.53633303
(286-24),행당동 286-24,5층,2020 2 11,"5,000/75",27.92,8.4,2020,6547.619047619048,86.3095238095238,오피스텔,적정보증금,고월세,127.03434080000001,37.56114564
그린피아 오피스텔,봉천동 876-1,9층,2020 2 1,"1,000/45",21.08,6.4,2002,1562.5,70.3125,오피스텔,적정보증금,고월세,126.95027350000001,37.48072446
거장스카이 오피스텔,봉천동 883-5,8층,2020 2 6,"3,000/100",70.56,21.3,2003,1408.450704225352,46.94835680751174,오피스텔,적정보증금,고월세,126.9486598,37.4811571
옥주오피스텔,봉천동 877-16,4층,2020 2 6,"2,000/50",22.23,6.7,2004,2985.074626865672,74.6268656716418,오피스텔,적정보증금,고월세,126.9499105,37.48032438
첼라 오피스텔(117-39),응암동 117-39,7층,2020 2 3,500/50,25.2,7.6,2004,657.8947368421052,65.78947368421053,오피스텔,적정보증금,고월세,126.91862069999999,37.59646499
아노블리81,청담동 91-2,10층,2020 2 24,"3,000/350",59.95,18.1,2018,1657.4585635359113,193.37016574585635,오피스텔,적정보증금,고월세,127.04161880000001,37.52387933
블로섬하우스,대현동 90-36,5층,2020 2 1,"1,000/60",14.21,4.3,2019,2325.581395348837,139.53488372093022,오피스텔,적정보증금,고월세,126.94431000000002,37.55751662
대보마로니에텔,연건동 206,7층,2020 3 7,"1,000/65",26.52,8.0,2001,1282.8947368421052,82.64802631578947,오피스텔,적정보증금,고월세,127.0004312,37.57618652
	(199-14)	,구의동 199-14,2층,2020 3 3,"1,000/50",32.25,9.8,2001,1020.4081632653059,51.020408163265294,오피스텔,적정보증금,고월세,127.09532150000001,37.54016867
한강빌딩,독산동 332-37,3층,2020 3 1,"3,000/32",14.79,4.5,2017,6666.666666666666,71.1111111111111,오피스텔,적정보증금,고월세,126.8915463,37.46768426
	(331-22)	,아현동 331-22,5층,2020 3 20,500/40,20.4,6.2,2003,2016.1290322580649,62.09677419354839,오피스텔,적정보증금,고월세,126.9542477,37.55688324
드림타워,서초동 1589-1,9층,2020 3 25,"1,000/80",27.95,8.5,2019,1176.4705882352941,94.11764705882356,오피스텔,적정보증금,고월세,127.0125034,37.48539341
