건물명,주소,층,거래일,거래금액,면적,평,건축년도,10평보증금평균,10평월세평균,건물형태,보증금평가,월세평가,경도,위도
영진오피스텔,독산동 144-4,1층,2020 1 14,"6,500/0",22.94,6.9,2001,9420.289855072464,0.0,오피스텔,적정보증금,적정월세,126.89745020000001,37.47666919
그린하이클라스빌,시흥동 989-10,7층,2020 1 3,"5,000/0",72.65,22.0,2005,2272.727272727273,0.0,오피스텔,적정보증금,적정월세,126.90078329999999,37.44923593
happy house,쌍문동 669-4,3층,2020 2 12,"7,000/0",23.85,7.2,2014,9722.222222222224,0.0,오피스텔,적정보증금,적정월세,127.03773989999999,37.6555362
코아루센타시아,동선동1가 121-6,3층,2020 2 3,"13,000/0",49.07,14.8,2010,8783.783783783783,0.0,오피스텔,적정보증금,적정월세,127.01917420000001,37.59304586
주건축물제1동,우면동 759,3층,2020 2 1,"1,218/0",18.47,5.6,2015,2175.0,0.0,오피스텔,적정보증금,적정월세,127.0156857,37.45720943
북부포커스빌,공릉동 661-3,3층,2020 2 12,"7,500/0",28.76,8.7,2004,8620.689655172413,0.0,오피스텔,적정보증금,적정월세,127.07738290000002,37.61875817
타임730오피스텔,부암동 129-8,4층,2020 3 12,"1,000/50",31.27,9.5,2002,6836.995401124167,26.315789473684212,오피스텔,적정보증금,적정월세,126.96310030000001,37.59780133
캐피탈오피스텔,부암동 154-2,2층,2020 3 24,"9,000/0",24.53,7.4,2002,7432.432432432432,27.027027027027025,오피스텔,적정보증금,적정월세,126.9641369,37.59666837
씨엠오스빌,장위동 50-35,4층,2020 3 19,"8,800/0",25.26,7.6,2003,7088.174982911825,19.48051948051948,오피스텔,적정보증금,적정월세,127.0580155,37.61208419
금강빌딩,개봉동 403-17,5층,2020 3 30,"4,500/5",23.22,7.0,2001,6428.571428571429,7.142857142857142,오피스텔,적정보증금,적정월세,126.8559185,37.49441509
	(908-4)	,화곡동 908-4,2층,2020 3 1,"1,000/30",118.62,35.9,2004,278.55153203342616,8.356545961002785,오피스텔,적정보증금,적정월세,126.8470348,37.52794566
그린오피스텔,화곡동 1074-20,4층,2020 3 5,"3,000/20",20.75,6.3,2002,4761.904761904762,31.74603174603175,오피스텔,적정보증금,적정월세,126.8393277,37.54077794
대원파크빌,번동 460-15,3층,2020 3 25,"2,000/50",58.34,17.6,2020,1136.3636363636365,28.40909090909091,오피스텔,적정보증금,적정월세,127.03084409999998,37.63771933
두온오피스텔,수유동 223-1,4층,2020 3 12,"8,000/0",33.2,10.0,2003,8000.0,0.0,오피스텔,적정보증금,적정월세,127.0230702,37.63889579
서일빌딩,암사동 502-3,6층,2020 4 30,"4,000/25",26.77,8.1,2008,7788.2847386393505,15.432098765432098,오피스텔,적정보증금,적정월세,127.12691880000001,37.55095237
강일임페리얼타워,강일동 675-3,10층,2020 4 15,"10,000/0",28.66,8.7,2013,6178.160919540231,22.1264367816092,오피스텔,적정보증금,적정월세,127.1741154,37.56538041
다솜오피스텔,석관동 337-31,2층,2020 4 10,"8,000/0",24.01,7.3,2002,8219.17808219178,13.698630136986301,오피스텔,적정보증금,적정월세,127.0564533,37.60988194
	(972-48)	,봉천동 972-48,2층,2020 4 2,"4,000/9",22.88,6.9,2002,5797.101449275363,13.043478260869565,오피스텔,적정보증금,적정월세,126.92586809999999,37.49032096
인화오벨리아,가리봉동 135-68,4층,2020 4 20,"11,000/0",43.84,13.3,2002,8659.119518252644,12.605042016806724,오피스텔,적정보증금,적정월세,126.89170870000001,37.47939044
동양오피스텔,고척동 76-411,7층,2020 4 27,"7,000/0",20.98,6.3,2004,9572.666275812653,29.411764705882355,오피스텔,적정보증금,적정월세,126.8659489,37.49972486
	(134-1)	,오류동 134-1,8층,2020 4 4,"10,000/0",30.03,9.1,2001,7221.350078492936,12.558869701726847,오피스텔,적정보증금,적정월세,126.84092890000001,37.49242181
에이탑,화곡동 400-51,3층,2020 4 6,"14,000/0",53.66,16.2,2005,8641.975308641975,0.0,오피스텔,적정보증금,적정월세,126.84058020000002,37.5381673
서일타운,면목동 68-2,7층,2020 4 13,"6,000/0",28.18,8.5,2002,7058.823529411765,0.0,오피스텔,적정보증금,적정월세,127.0943426,37.58658688
태솔유니크빌,창동 624-15,7층,2020 5 23,"21,900/0",70.12,21.2,2002,7349.056603773584,7.547169811320754,오피스텔,적정보증금,적정월세,127.03495079999999,37.64492383
디앤제이하우징,불광동 281-23,5층,2020 5 4,"1,500/0",53.51,16.2,2019,925.9259259259261,0.0,오피스텔,적정보증금,적정월세,126.93135670000001,37.61153965
백운오피스텔,불광동 272-22,5층,2020 5 30,"5,000/12",22.57,6.8,2002,7352.941176470589,17.647058823529417,오피스텔,적정보증금,적정월세,126.93008200000001,37.612343
	(120-14)	,응암동 120-14,1층,2020 5 1,"6,000/0",19.7,6.0,2003,10000.0,0.0,오피스텔,적정보증금,적정월세,126.91767140000002,37.59629033
씨티오피스텔,독산동 332-24,3층,2020 6 6,"1,000/42",23.37,7.1,2003,9154.929577464787,30.28169014084507,오피스텔,적정보증금,적정월세,126.8919743,37.46674182
	(131-14)	,녹번동 131-14,3층,2020 6 26,"7,000/10",25.47,7.7,2003,9212.662337662336,14.587842712842715,오피스텔,적정보증금,적정월세,126.9281277,37.60834966
유림하이빌,대조동 31-16,5층,2020 6 26,"2,000/30",17.98,5.4,2003,5593.3484504913085,27.777777777777786,오피스텔,적정보증금,적정월세,126.92636019999999,37.6100753
	(20-2)	,응암동 20-2,7층,2020 6 12,"11,000/0",39.72,12.0,2002,9166.666666666666,0.0,오피스텔,적정보증금,적정월세,126.93579170000001,37.60016447
청림오피스텔 별관,등촌동 637-21,3층,2020 6 19,"9,000/0",18.9,5.7,2002,9371.052631578948,24.73684210526316,오피스텔,적정보증금,적정월세,126.8592611,37.55604105
우공팰리스,화곡동 916-32,2층,2020 6 9,"20,000/0",79.86,24.2,2008,8264.462809917355,0.0,오피스텔,적정보증금,적정월세,126.8432915,37.52936115
(33-6),익선동 33-6,2층,2020 7 6,"6,000/0",23.15,7.0,2002,8596.059113300491,0.0,오피스텔,적정보증금,적정월세,126.9887253,37.5749463
선경오피스텔,천호동 165-1,4층,2020 7 18,"9,450/0",20.65,6.2,2002,9975.667466677516,15.384615384615385,오피스텔,적정보증금,적정월세,127.1321753,37.53853796
흥화브라운 동소문빌딩,동소문동4가 75,5층,2020 7 20,"31,000/0",73.54,22.2,2006,7398.648648648647,25.0,오피스텔,적정보증금,적정월세,127.01006540000002,37.59064183
예성라온팰리스,오류동 33-1,2층,2020 7 27,"29,000/0",92.02,27.8,2007,9724.98601399585,0.0,오피스텔,적정보증금,적정월세,126.8469293,37.49707065
현대프린스텔,등촌동 628-13,3층,2020 7 18,"9,100/0",29.81,9.0,1999,5941.23347689894,34.2579039172937,오피스텔,적정보증금,적정월세,126.85636299999999,37.56008722
강변샤르망2단지,등촌동 628-32,5층,2020 7 31,"33,500/0",63.16,19.1,2005,9648.466716529543,25.30541012216404,오피스텔,적정보증금,적정월세,126.85752679999999,37.55924334
서안EZtel,화곡동 1063-8,6층,2020 7 11,"9,000/0",32.81,9.9,2001,9090.90909090909,0.0,오피스텔,적정보증금,적정월세,126.84173419999999,37.54252521
동림오벨리스크,홍은동 396-25,1층,2020 7 17,"5,000/0",17.34,5.2,2003,9846.153846153846,0.0,오피스텔,적정보증금,적정월세,126.92885290000001,37.57988415
황지 클래스,창동 629-25,4층,2020 8 22,"23,000/0",81.72,24.7,2004,9311.74089068826,0.0,오피스텔,적정보증금,적정월세,127.0355395,37.64363348
동문비젼오피스텔,신정동 318-6,15층,2020 8 14,"2,000/120",63.48,19.2,1999,6435.449105041496,25.252841260993428,오피스텔,적정보증금,적정월세,126.8690847,37.52152211
세검정아트오피스텔,홍지동 104-21,1층,2020 8 2,"10,000/30",48.45,14.7,2005,6802.7210884353735,20.40816326530612,오피스텔,적정보증금,적정월세,126.9607108,37.59919303
솔목오피스텔,길동 416-4,5층,2020 8 25,"10,000/0",31.44,9.5,2002,4855.368421052632,34.31578947368421,오피스텔,적정보증금,적정월세,127.135573,37.53728431
1동(166-100),천호동 166-100,8층,2020 8 6,"37,800/0",123.06,37.2,2003,9898.260658780964,19.80041106696095,오피스텔,적정보증금,적정월세,127.13169309999999,37.53862756
힐탑프라자,천호동 449-49,5층,2020 8 8,"8,000/0",20.48,6.2,1994,6729.699666295883,32.703003337041146,오피스텔,적정보증금,적정월세,127.1313541,37.53661744
스페이스 오피스텔,영등포동1가 76,4층,2020 8 4,"11,000/16",32.24,9.8,2006,9715.575885526623,34.921416842599115,오피스텔,적정보증금,적정월세,126.9137818,37.51763865
로하스 오피스텔,녹번동 176-6,4층,2020 8 12,"4,000/25",28.32,8.6,2006,3773.306530439113,35.00820684949191,오피스텔,적정보증금,적정월세,126.92219579999998,37.60220108
씨티라이프 61,삼성동 112-1,3층,2020 8 27,"8,500/0",29.27,8.9,2014,9550.561797752807,0.0,오피스텔,적정보증금,적정월세,127.0443471,37.5101426
동의보감타워,용두동 787,10층,2020 8 15,"3,000/50",36.02,10.9,2005,7476.600871096284,25.68807339449541,오피스텔,적정보증금,적정월세,127.03769540000002,37.57780837
현대골든텔(102-0),광장동 102,3층,2020 9 29,"1,000/45",26.73,8.1,1991,9300.411522633744,18.51851851851852,오피스텔,적정보증금,적정월세,127.1108903,37.55163381
자양오피스텔(767-4),자양동 767-4,7층,2020 9 17,"10,000/0",30.24,9.1,1999,6391.45800436123,26.25868754901013,오피스텔,적정보증금,적정월세,127.0829154,37.53984011
삼호오피스텔,용답동 236-5,5층,2020 9 1,"6,500/0",26.25,7.9,1991,8227.848101265823,0.0,오피스텔,적정보증금,적정월세,127.0690788,37.56020148
	(618-22)	,영등포동 618-22,4층,2020 9 24,"10,000/0",23.21,7.0,1995,7077.922077922077,24.65331278890601,오피스텔,적정보증금,적정월세,126.90841110000001,37.51429736
트윈타워(275-3),양재동 275-3,10층,2020 9 25,"13,000/0",24.07,7.3,1991,8699.279700273211,31.48304048399806,오피스텔,적정보증금,적정월세,127.04427779999999,37.47659155
에이플러스빌,용두동 40-35,7층,2020 9 7,"13,500/0",28.9,8.7,2011,9885.237350026086,28.13303833216413,오피스텔,적정보증금,적정월세,127.0377067,37.57503738
금강리빙스텔,신내동 646,4층,2020 9 28,"3,000/40",35.1,10.6,2003,4500.813962797898,31.53238504443436,오피스텔,적정보증금,적정월세,127.09287240000002,37.61633105
밀레니엄오피스텔,목동 515-7,3층,2020 10 19,500/40,19.14,5.8,2002,8506.534404030861,22.988505747126442,오피스텔,적정보증금,적정월세,126.87602009999999,37.54672207
신구오피스텔,천호동 151-2,13층,2020 10 23,"12,000/0",31.59,9.6,1997,9191.91411909371,6.468461229409401,오피스텔,적정보증금,적정월세,127.1356311,37.53848022
정암하이빌,천호동 161-17,4층,2020 10 24,"10,300/0",23.12,7.0,2003,9363.265306122446,25.102040816326532,오피스텔,적정보증금,적정월세,127.1338511,37.53717045
하우피스오피스텔,봉천동 725-4,6층,2020 10 5,"1,000/50",27.38,8.3,2003,9374.66973155781,27.03940763052209,오피스텔,적정보증금,적정월세,126.9268121,37.49381259
하나가드리움(1127-38),구로동 1127-38,4층,2020 10 1,"3,500/25",21.08,6.4,2002,5916.238132911391,33.30201740506329,오피스텔,적정보증금,적정월세,126.8994821,37.48236184
	(1132-59)	,구로동 1132-59,4층,2020 10 5,"10,000/0",34.02,10.3,1990,3722.357065803667,29.86111111111111,오피스텔,적정보증금,적정월세,126.89705009999999,37.47941177
조일뉴타워,구로동 414-10,7층,2020 10 28,"11,000/0",66.12,20.0,2004,5500.0,0.0,오피스텔,적정보증금,적정월세,126.8830321,37.49356701
위산렉스빌,응암동 589-9,3층,2020 10 20,"5,000/90",101.13,30.6,2008,1633.9869281045749,29.411764705882355,오피스텔,적정보증금,적정월세,126.9160432,37.59058787
(101-149),상계동 101-149,3층,2020 10 14,"7,350/0",30.34,9.2,2003,7989.130434782609,0.0,오피스텔,적정보증금,적정월세,127.07886509999999,37.66771999
신설동주상복합,신설동 98-49,2층,2020 10 10,"7,000/0",23.83,7.2,2006,9907.407407407409,0.0,오피스텔,적정보증금,적정월세,127.0256095,37.57574512
오벨리스크,연희동 121-4,3층,2020 10 10,"5,000/0",20.39,6.2,2002,5913.978494623656,34.946236559139784,오피스텔,적정보증금,적정월세,126.92996969999999,37.57090585
	(446-270)	,연희동 446-270,2층,2020 10 21,"1,000/35",15.84,4.8,2003,8171.359113523294,14.583333333333336,오피스텔,적정보증금,적정월세,126.920175,37.56716031
야베스오피스텔,창동 650-32,4층,2020 11 2,"16,000/0",53.92,16.3,2015,5290.221907276538,34.651898734177216,오피스텔,적정보증금,적정월세,127.0338503,37.64604506
	(659-2)	,창동 659-2,3층,2020 11 3,"4,300/0",24.28,7.3,2002,5890.410958904109,0.0,오피스텔,적정보증금,적정월세,127.03550530000001,37.64855169
우성하우스빌,창동 603-5,5층,2020 11 6,"18,000/20",90.38,27.3,2009,5609.2668547469675,15.018138417093821,오피스텔,적정보증금,적정월세,127.0399206,37.64142429
플러스 오피스텔,창동 181-46,3층,2020 11 27,"9,300/0",41.18,12.5,2003,5405.714285714285,12.571428571428573,오피스텔,적정보증금,적정월세,127.0455965,37.65934226
서희스타힐스,명일동 48-7,6층,2020 11 21,"18,600/0",49.99,15.1,2012,8275.474025951828,29.42167393031877,오피스텔,적정보증금,적정월세,127.15574550000001,37.55227095
쌍용플래티넘리버,천호동 432-10,6층,2020 11 2,"17,000/0",34.2,10.3,2004,8387.546582328134,35.42708639796019,오피스텔,적정보증금,적정월세,127.12351389999999,37.54032955
고운타워,마장동 474-5,5층,2020 11 30,"10,000/0",23.1,7.0,2010,8457.820623060352,24.20091324200914,오피스텔,적정보증금,적정월세,127.03733670000001,37.57043068
미래오피스텔,봉천동 874-22,5층,2020 11 16,"5,000/30",19.8,6.0,2003,9790.189125295508,34.691489361702125,오피스텔,적정보증금,적정월세,126.95020790000001,37.4821095
홈런오피스텔,고척동 76-4,6층,2020 11 13,"9,000/0",26.91,8.1,2003,9327.846364883402,13.717421124828535,오피스텔,적정보증금,적정월세,126.8661385,37.49977818
예성 라온팰리스,오류동 33-33,17층,2020 11 30,"28,000/0",69.93,21.2,2007,9372.532072203629,11.838293914429974,오피스텔,적정보증금,적정월세,126.8472879,37.49733714
