가게,주소,도로명주소,경도,위도
이마트 영등포점,영등포동4가 442,"서울 영등포구 영중로 15 타임스퀘어 지하1,2층",126.903642,37.51721812
이마트 가양점,가양동 449-19,서울 강서구 양천로 559,126.8617843,37.55822194
이마트 성수점,성수동2가 333-133,서울 성동구 뚝섬로 379,127.0535365,37.53996409
이마트 은평점,응암동 90-1,서울 은평구 은평로 111,126.9202225,37.60038151
이마트 용산점,한강로3가 40-999,서울 용산구 한강대로23길 55,126.964861,37.52982602
이마트 이수점,사당동 147-29,서울 동작구 사당로 300 이수자이 지하1층,126.9802824,37.48438038
이마트 청계천점,황학동 2545,서울 중구 청계천로 400 롯데캐슬 베네치아,127.0198397,37.57075321
이마트 구로점,구로동 188-26,서울 구로구 디지털로32길 43,126.8979085,37.48440124
이마트 가든파이브점,문정동 628,서울 송파구 충민로 10,127.118694,37.47872103
이마트 양재점,양재동 215,서울 서초구 매헌로 16,127.0369447,37.46247061
이마트 명일점,명일동 46-4,서울 강동구 고덕로 276,127.1556324,37.55470913
이마트 미아점,길음동 25-2,서울 성북구 도봉로 17,127.029857,37.61085222
이마트 왕십리점,행당동 168-151,서울 성동구 왕십리광장로 17,127.0383836,37.56126547
이마트 목동점,목동 962,서울 양천구 오목로 299 삼성 트라펠리스 지하,126.8703141,37.52556287
이마트 하월곡점,하월곡동 230,서울 성북구 종암로 167 동일하이빌뉴시티,127.0309217,37.60513251
이마트 자양점,자양동 227-7,서울 광진구 아차산로 272 더샵스타시티 지하1층,127.0730372,37.53854294
이마트 마포점,신공덕동 173,서울 마포구 백범로 212,126.9533868,37.54242181
이마트 역삼점,역삼동 755,서울 강남구 역삼로 310 한솔필리아 지층,127.0484436,37.4992011
이마트 창동점,창동 135-26,서울 도봉구 노해로65길 4,127.0474655,37.65198283
이마트 신월점,신월동 26,서울 양천구 화곡로 59,126.8285096,37.53975993
이마트 신도림점,구로동 3-25,서울 구로구 새말로 97 신도림테크노마트 지하2층,126.8901507,37.50706722
이마트 수색점,수색동 75,서울 은평구 수색로 217,126.8987641,37.57964277
이마트 상봉점,망우동 506-1,서울 중랑구 상봉로 118,127.0936345,37.59647742
이마트트레이더스 월계점,월계동 333-1,서울 노원구 마들로3길 17 1층,127.0613338,37.62796177
이마트 여의도점,여의도동 47,서울 영등포구 여의동로3길 10 GS자이아파트 지하1층,126.9252662,37.51811501
이마트 천호점,천호동 454-1,서울 강동구 천호대로 1017,127.1256163,37.53863905
이마트 월계점,월계동 333-1,서울 노원구 마들로3길 15,127.0619812,37.62648325
이마트 신촌점,노고산동 57-2,서울 마포구 신촌로 94,126.936002,37.55499486
이마트 묵동점,묵동 170-1,서울 중랑구 동일로 932,127.0775146,37.61381914
롯데마트 서초점,서초동 1498-5,서울 서초구 서초대로38길 12,127.0053761,37.49049857
홈플러스 월드컵점,성산동 529-16,서울 마포구 월드컵로 240,126.8972549,37.5684199
이마트 이문점,이문동 292-10,서울 동대문구 이문로 136,127.0618886,37.59849737
롯데마트 양평점,양평동3가 45,서울 영등포구 선유로 138,126.8915508,37.5260608
코스트코 양재점,양재동 217-6,서울 서초구 양재대로 159,127.0361535,37.46197505
코스트코 양평점,양평동3가 65,서울 영등포구 선유로 156,126.8922197,37.5276864
홈플러스 강서점,등촌동 639-11,서울 강서구 화곡로 398,126.8548158,37.55847445
이마트 수서점,수서동 724,서울 강남구 광평로 280 로즈데일 오피스텔 지하1층,127.1030769,37.48731395
코스트코 상봉점,상봉동 81,서울 중랑구 망우로 336,127.0903234,37.59681593
홈플러스 합정점,서교동 490,서울 마포구 양화로 45 메세나폴리스 지하2층,126.9142006,37.55076126
롯데마트 중계점,중계동 361,서울 노원구 노원로 330,127.0709557,37.64678645
홈플러스 금천점,독산동 291-7,서울 금천구 시흥대로 391,126.8968843,37.46866426
