가게,주소,도로명주소,경도,위도
CNP차앤박피부과 노원점,상계동 717,서울 노원구 노해로 495 삼용빌딩 5층,127.0631035,37.65511369
씨앤피차앤박피부과 양재점,도곡동 953-1,서울 강남구 강남대로 240 양재SK허브프리모 3층,127.0343736,37.48526769
CNP차앤박피부과 여의도점,여의도동 26-5,서울 영등포구 여의나루로 53-1 대오빌딩 4층 402호,126.9249713,37.52270516
CNP차앤박피부과 명동점,명동2가 32-5,서울 중구 명동8길 17 삼안빌딩 6층,126.9848904,37.56303669
CNP차앤박피부과 도곡양재점,도곡동 952-10,서울 강남구 강남대로 248 목원빌딩 3층,127.0339181,37.48571375
중앙대학교병원,흑석동 224-1,서울 동작구 흑석로 102,126.9603547,37.50712295
세브란스병원,신촌동 134,서울 서대문구 연세로 50-1,126.9408413,37.56238424
중앙보훈병원,둔촌동 6-2,서울 강동구 진황도로61길 53,127.1484236,37.52975886
서울아산병원,풍납동 388-1,서울 송파구 올림픽로43길 88,127.111056,37.52505677
녹색병원,면목3.8동 568-1,서울 중랑구 사가정로49길 53,127.085981,37.58355545
한일병원,쌍문동 388-1,서울 도봉구 우이천로 308,127.0293087,37.64614051
부민병원,등촌동 657,서울 강서구 공항대로 389,126.8509301,37.55687158
삼성서울병원,일원동 50,서울 강남구 일원로 81,127.0851714,37.48827162
가톨릭대학교서울성모병원,반포동 123,서울 서초구 반포대로 222,127.0062263,37.50293521
이화여자대학교의과대학부속서울병원,마곡동 728-26,서울 강서구 공항대로 260,126.8362686,37.55724864
한림대학교 한강성심병원,영등포동7가 94-200,서울 영등포구 버드나루로7길 12,126.9096951,37.52317192
고려대학교안암병원,안암동5가 126-1,서울 성북구 고려대로 73,127.0264799,37.58715921
한림대학교 강남성심병원,대림동 948-1,서울 영등포구 신길로 1,126.9087729,37.49323483
서울대학교병원,연건동 28-21,서울 종로구 대학로 101,126.9970229,37.57881306
노원을지대학교병원,하계동 280-1,서울 노원구 한글비석로 68,127.0695923,37.63656001
경희의료원,회기동 1-5,서울 동대문구 경희대로 23,127.0522878,37.59410399
누네안과병원 서울병원,대치동 907-16,서울 강남구 선릉로 404,127.0509988,37.50099271
국립중앙의료원,을지로6가 18-79,서울 중구 을지로 245,127.0055234,37.56659314
CM병원,영등포동4가 93,서울 영등포구 영등포로36길 13,126.9038439,37.51880862
이대목동병원,목동 911-1,서울 양천구 안양천로 1071,126.8867432,37.53698147
인제대학교 상계백병원,상계동 761-1,서울 노원구 동일로 1342,127.0631185,37.64861903
성애병원,신길동 451-5,서울 영등포구 여의대방로53길 22,126.9222879,37.51205182
순천향대학교부속 서울병원,한남동 657-58,서울 용산구 대사관로 59,127.0046794,37.53419132
강북삼성병원,평동 60,서울 종로구 새문안로 29,126.9668691,37.56839854
서울특별시 보라매병원,신대방동 425,서울 동작구 보라매로5길 20,126.9247831,37.49320363
고려대학교구로병원,구로동 80,서울 구로구 구로동로 148,126.8854783,37.49235168
강동성심병원,길동 445,서울 강동구 성안로 150,127.1353874,37.53612
차의과학대학교 강남차병원,역삼동 650-9,서울 강남구 논현로 566,127.0347151,37.50703259
서울송도병원,약수동 366-144,서울 중구 다산로 78,127.0082125,37.55128018
건국대학교병원,화양동 4-12,서울 광진구 능동로 120-1,127.0718453,37.5404406
서울특별시 서울의료원,신내동 316,서울 중랑구 신내로 156,127.098222,37.61287425
