주택종류,소재지번,도로명,건물명,층,전용면적(㎡),계약년월,계약일,거래금액(만원),건축년도
오피스텔,서울특별시 강남구 개포동13-3,개포로 623,대청타워,9,31.91,202001,14,"        22,000",1997
오피스텔,서울특별시 강남구 개포동13-3,개포로 623,대청타워,18,32.44,202002,12,"        20,000",1997
오피스텔,서울특별시 강남구 개포동13-3,개포로 623,대청타워,11,32.44,202002,14,"        23,000",1997
오피스텔,서울특별시 강남구 개포동13-3,개포로 623,대청타워,6,32.86,202002,18,"        20,500",1997
오피스텔,서울특별시 강남구 개포동13-3,개포로 623,대청타워,19,32.44,202002,26,"        22,000",1997
오피스텔,서울특별시 강남구 개포동13-3,개포로 623,대청타워,7,32.44,202003,14,"        19,500",1997
오피스텔,서울특별시 강남구 개포동13-3,개포로 623,대청타워,20,32.44,202003,14,"        22,000",1997
오피스텔,서울특별시 강남구 개포동13-3,개포로 623,대청타워,16,34.39,202003,18,"        22,000",1997
오피스텔,서울특별시 강남구 개포동13-3,개포로 623,대청타워,14,31.91,202003,26,"        22,000",1997
오피스텔,서울특별시 강남구 개포동13-3,개포로 623,대청타워,16,32.44,202004,6,"        22,000",1997
오피스텔,서울특별시 강남구 개포동13-3,개포로 623,대청타워,17,31.91,202004,7,"        21,300",1997
오피스텔,서울특별시 강남구 개포동13-3,개포로 623,대청타워,19,32.44,202005,12,"        21,900",1997
오피스텔,서울특별시 강남구 개포동13-3,개포로 623,대청타워,10,32.44,202005,14,"        22,000",1997
오피스텔,서울특별시 강남구 개포동13-3,개포로 623,대청타워,22,32.86,202006,2,"        21,800",1997
오피스텔,서울특별시 강남구 개포동13-3,개포로 623,대청타워,8,31.91,202006,13,"        22,500",1997
오피스텔,서울특별시 강남구 개포동13-3,개포로 623,대청타워,25,32.44,202006,19,"        21,800",1997
오피스텔,서울특별시 강남구 개포동13-3,개포로 623,대청타워,6,32.44,202007,4,"        21,500",1997
오피스텔,서울특별시 강남구 개포동13-3,개포로 623,대청타워,10,31.91,202007,18,"        20,000",1997
오피스텔,서울특별시 강남구 개포동13-3,개포로 623,대청타워,19,31.91,202007,18,"        23,500",1997
