가게,주소,도로명주소,경도,위도
스타벅스 강남R점,역삼동 825,서울 강남구 강남대로 390,127.0285867,37.49784444
스타벅스 파미에파크R점,반포동 118-3,서울 서초구 사평대로 205 센트럴시티 파미에파크돔,127.0078101,37.50447747
스타벅스 공릉DT점,공릉동 597-34,서울 노원구 동일로 1015,127.0742296,37.62074505
스타벅스 청담스타R점,청담동 89-4,서울 강남구 도산대로57길 24,127.0418429,37.52525652
스타벅스 더종로R점,공평동 70,서울 종로구 종로 51,126.9866148,37.57959006
스타벅스 석촌호수점,송파동 7-5,"서울 송파구 석촌호수로 262 지상 1, 2층",127.1052364,37.50944157
스타벅스 영등포신길DT점,신길동 252-9,"서울 영등포구 신길로 137 1,2층",126.9100759,37.50457966
스타벅스 연희DT점,연희동 87-8,서울 서대문구 연희로 144,126.9339031,37.57019845
스타벅스 홍대입구역사거리R점,서교동 353-5,서울 마포구 양화로 125,126.9203094,37.55474937
스타벅스 화곡DT점,화곡동 772-67,서울 강서구 등촌로 57,126.8631433,37.53501214
스타벅스 환구단점,소공동 87-10,서울 중구 소공로 112 반도조선아케이드,126.9791319,37.56462176
스타벅스 신월ICDT점,신월동 205-48,서울 양천구 남부순환로 430,126.8321366,37.52949676
스타벅스 홍대역점,동교동 159-1,서울 마포구 양화로 165 상진빌딩 1층,126.9236191,37.55720394
스타벅스 신정DT점,신정동 981-15,서울 양천구 신월로 341,126.8588395,37.522015
스타벅스 송파나루역DT점,송파동 59-9,서울 송파구 오금로 142,127.1102264,37.51082953
스타벅스 용산역써밋R점,한강로2가 410-1,서울 용산구 한강대로 69,126.965382,37.52743841
스타벅스 마곡사이언스타워R점,마곡동 727-500,서울 강서구 마곡동로 62,126.8338901,37.56055379
스타벅스 이대R점,대현동 54-4,서울 서대문구 이화여대길 34,126.9459684,37.55845085
스타벅스 광화문R점,세종로 185-2,서울 종로구 세종대로 167 현대해상본사사옥 별관내,126.9763014,37.57127401
스타벅스 방화DT점,방화동 293-4,서울 강서구 방화대로 375,126.8163897,37.57443947
스타벅스 한강진역R점,한남동 683-139,서울 용산구 이태원로 252,127.0011219,37.53710988
스타벅스 낙성대DT점,봉천동 1657-3,서울 관악구 남부순환로 1948,126.9651436,37.47619004
스타벅스 노량진역점,노량진동 62-8,서울 동작구 노량진로 134,126.9408853,37.51336122
스타벅스 영등포본동점,영등포동3가 2-21,서울 영등포구 영등포로 254 우성타워 1층,126.9095854,37.51866471
스타벅스 잠실새내역점,잠실동 181,서울 송파구 올림픽로 96 1층,127.0812139,37.51146413
스타벅스 송파방이DT점,방이동 226-10,서울 송파구 오금로 241,127.1204821,37.50653333
스타벅스 가재울뉴타운점,,서울 서대문구 남가좌동 384 2단지 별동상가 1층,126.9147019,37.57385385
스타벅스 마곡나루역점,마곡동 759-3,서울 강서구 마곡중앙로 161-17,126.82597,37.56804934
스타벅스 서울웨이브아트센터점,,서울 서초구 잠원동 149,127.0068557,37.51860932
스타벅스 왕십리역점,도선동 58-5,서울 성동구 왕십리로 326,127.033912,37.56274472
스타벅스 망원역점,서교동 475-13,서울 마포구 월드컵로 74,126.9107411,37.55577384
스타벅스 관악서울대입구R점,봉천동 856-6,서울 관악구 관악로 158 BS타워 1층,126.9528099,37.47931023
스타벅스 신림DT점,신림동 564-12,서울 관악구 남부순환로 1419,126.9084181,37.48097475
스타벅스 보라매공원R점,신대방동 395-65,서울 동작구 보라매로5길 35,126.9235086,37.4920928
스타벅스 답십리역점,답십리동 497-67,서울 동대문구 천호대로 263,127.051122,37.56850523
스타벅스 압구정로데오역점,청담동 84-3,"서울 강남구 선릉로 836 삼원빌딩 1,2층",127.040535,37.52654304
스타벅스 성수역점,성수동2가 317-20,서울 성동구 성수이로 94,127.0569569,37.54323112
스타벅스 홍대공항철도역점,동교동 166-1,서울 마포구 양화로 178,126.9252286,37.55749647
스타벅스 강동암사DT점,암사동 441-12,서울 강동구 고덕로 43,127.1300186,37.55510671
스타벅스 구로호텔점,구로동 1128-1,서울 구로구 디지털로32길 72 구로호텔 1층,126.8988516,37.48318847
스타벅스 공릉역점,공릉동 379-27,서울 노원구 동일로 1081,127.0722723,37.6263802
스타벅스 한남동R,한남동 36-7,서울 용산구 독서당로 94,127.0109496,37.53480096
스타벅스 신촌점,창천동 18-55,"서울 서대문구 연세로 10-1 즐거운빌딩 1,2,3층",126.9371225,37.55648945
스타벅스 구의DT,구의동 67-36,서울 광진구 광나루로 519,127.087203,37.54531052
스타벅스 까치산역점,화곡동 343-1,서울 강서구 강서로13길 3,126.8460638,37.53229335
스타벅스 청담사거리점,청담동 6-5,서울 강남구 도산대로 458 리츠타워,127.0468811,37.52375958
스타벅스 건대입구점,화양동 5-47,서울 광진구 능동로 107,127.0707366,37.54069937
스타벅스 상계초교사거리점,상계동 372-16,서울 노원구 노원로 449,127.0664524,37.65669512
스타벅스 신대방삼거리역점,상도동 324-1,서울 동작구 상도로 102,126.9318564,37.49993194
스타벅스 잠실역점,신천동 7-17,"서울 송파구 송파대로 562 한빛프라자 1,2층",127.0995108,37.51533039
스타벅스 노원마들역점,상계동 694,서울 노원구 노원로 569 임광아파트상가,127.056152,37.66065567
스타벅스 합정점,합정동 472,서울 마포구 월드컵로1길 14,126.9119634,37.55000852
스타벅스 장한평역점,장안동 433-7,서울 동대문구 장한로 10,127.0654751,37.56235605
스타벅스 노원역점,상계동 712,서울 노원구 동일로 1413 남성빌딩 1층,127.0600192,37.65476874
스타벅스 종암DT점,종암동 29-10,서울 성북구 종암로 17,127.0360884,37.59191505
스타벅스 불광역점,대조동 15-9,서울 은평구 통일로 715 우리은행 1층,126.9303309,37.60941467
스타벅스 서울숲역,성수동1가 656-335,서울 성동구 왕십리로 50 메가박스 스퀘어 1층,127.0449101,37.5418858
스타벅스 군자역,군자동 478-5,서울 광진구 천호대로 548,127.079025,37.55688418
스타벅스 신도림점,신도림동 413-9,서울 구로구 경인로 610,126.8839554,37.50547915
스타벅스 어린이대공원역,군자동 236,서울 광진구 능동로 243,127.0763468,37.55193772
스타벅스 상암DMC점,상암동 1654,"서울 마포구 월드컵북로 375 DMC이안오피스텔1단지 102,202호",126.8907762,37.57754393
스타벅스 문정역점,문정동 338,서울 송파구 송파대로 167,127.1208352,37.48464178
스타벅스 상봉역점,상봉동 100-2,서울 중랑구 망우로 307,127.0864727,37.59693655
스타벅스 신설동역점,신설동 76-10,서울 동대문구 왕산로 19,127.0255159,37.57670917
스타벅스 영등포역점,영등포동1가 143-3,서울 영등포구 경인로 870,126.9093141,37.51701151
스타벅스 회기역사거리점,회기동 346-18,서울 동대문구 이문로 37 회기 한일 베라체캠퍼스 1층,127.0561224,37.59081252
스타벅스 서울대입구역점,봉천동 869-1,서울 관악구 남부순환로 1812,126.9513314,37.48111542
스타벅스 송파개롱역점,가락동 174-14,서울 송파구 오금로 420,127.1362835,37.49698652
스타벅스 강동구청DT점,성내동 550,서울 강동구 성내로 32,127.123801,37.52919495
스타벅스 선릉세화빌딩점,대치동 889-70,서울 강남구 테헤란로64길 18 세화빌딩 1층,127.0512054,37.50376853
스타벅스 금호역점,금호동4가 1483,서울 성동구 동호로 99,127.0153424,37.54803736
스타벅스 동대문공원점,광희동1가 185-1,서울 중구 장충단로 229,127.007243,37.5652212
스타벅스 몬테소리점,서초동 1318-8,서울 서초구 강남대로 399 한국몬테소리 빌딩,127.0268359,37.49825971
