가게,주소,도로명주소,경도,위도
토즈모임센터 강남역토즈타워점,역삼동 827-3,서울 강남구 강남대로84길 24-4 강남역 3번출구,127.0305865,37.4967279
토즈모임센터 홍대점,연남동 567-42,서울 마포구 연남로 13 영상빌딩 3층,126.9227841,37.56085102
토즈모임센터 종로점,종로2가 84-8,서울 종로구 종로 68 대한기독교서회빌딩 5층,126.9849384,37.56989842
토즈모임센터 강남2호점,서초동 1303-34,서울 서초구 강남대로 459 백암빌딩 3층,127.0242089,37.50302238
토즈모임센터 선릉점,대치동 890-34,서울 강남구 테헤란로70길 14-8 세왕빌딩 9층,127.0528009,37.50464963
토즈모임센터 서울대입구점,봉천동 869-10,서울 관악구 남부순환로 1808 관악센츄리타워 2층,126.9509177,37.48108799
토즈모임센터 광화문점,신문로1가 25,서울 종로구 새문안로 89 정우빌딩 6층 601호,126.9745307,37.57048598
토즈모임센터 강남구청역점,논현동 118-15,"서울 강남구 학동로 335 다른타워 9,10층",127.0396511,37.5169881
토즈모임센터 양재점,양재동 11-2,서울 서초구 남부순환로 2606 금정빌딩 8층,127.0356884,37.48445262
토즈모임센터 압구정센터,신사동 608-13,"서울 강남구 압구정로34길 32 성우에이치 3,4층",127.0305045,37.52602157
토즈모임센터 건대점,화양동 48-5,서울 광진구 아차산로 207 선일빌딩 5층,127.066731,37.54151929
토즈모임센터 역삼점,역삼동 668-5,서울 강남구 논현로98길 6 신화빌딩 2층,127.0363105,37.50342458
토즈모임센터 강남컨퍼런스점,서초동 1305-1,서울 서초구 강남대로 441 서산빌딩 9층,127.0252777,37.50173628
토즈모임센터 신촌본점,창천동 18-55,서울 서대문구 연세로 10-1 즐거운빌딩 4층,126.9371225,37.55648945
토즈모임센터 신촌비즈센터,노고산동 106-5,서울 마포구 서강로 136 아이비타워 15층,126.9357806,37.55405237
토즈모임센터 신천점,잠실동 175-14,서울 송파구 올림픽로 92 10층,127.0808164,37.51146125
토즈모임센터 삼성점,삼성동 169-1,서울 강남구 테헤란로103길 14 3층,127.064319,37.51038127
토즈모임센터 혜화점,동숭동 1-131,서울 종로구 동숭길 25 3층,127.0035896,37.57990677
토즈모임센터 신반포점,반포동 18-3,서울 서초구 반포대로 287 래미안퍼스티지 중심상가 5층,127.0010756,37.50434489
토즈모임센터 수서점,수서동 589-3,서울 강남구 광평로34길 30,127.0941212,37.48218015
토즈모임센터 아트레온점,창천동 20-25,서울 서대문구 신촌로 129 아트레온 14층,126.9402758,37.55656601
삼경교육센터,동자동 43-56,서울 용산구 한강대로 391 센트럴프라자 3~7층,126.9723697,37.55328636
초심스터디카페 대치학원가사거리점,대치동 941-18,"서울 강남구 삼성로 301 지하 03, 04호",127.0603931,37.49910587
노블스터디카페 강남점,역삼동 817-23,서울 강남구 테헤란로1길 28-14 씨티타워 2층 201호,127.0285279,37.50036674
영스스터디카페,창천동 72-32,서울 서대문구 신촌로 59,126.9331636,37.55673467
코지모임공간 강남역2호점,서초동 1321-5,서울 서초구 서운로 142-4 재전빌딩 6층,127.0249219,37.49611442
연남장,연희동 218-15,서울 서대문구 연희로5길 22 지하1층~3층,126.9275835,37.56433128
누구나,관철동 45-1,서울 종로구 우정국로2길 21 11층,126.9842833,37.56970174
르하임스터디카페 대방역점,대방동 341-4,서울 동작구 여의대방로 286 5층,126.9255091,37.5119945
타임레서피스터디룸,서교동 375-46,서울 마포구 양화로15길 17 도원빌딩 2층,126.9190232,37.55454452
강남꿈틀스터디룸,역삼동 649-2,서울 강남구 강남대로94길 34 지하 1층,127.0300139,37.49974766
르하임스터디카페 숙대점,청파동3가 111-9,서울 용산구 청파로47길 49 캠퍼스프라자 2층,126.9675579,37.54458559
상연재,정동 3-7,서울 중구 세종대로19길 16 성공회빌딩본관 2층,126.9757092,37.56682504
구룡마을상황실,개포동 571-1,서울 강남구 양재대로 478,127.0642775,37.47660102
이지스터디 강남점,역삼동 819-2,서울 강남구 강남대로94길 18 삼행빌딩 2층,127.0288388,37.49935008
슈퍼스타트,서교동 364-31,서울 마포구 와우산로21길 29,126.9223688,37.55217746
씨맥스,역삼동 817-29,서울 강남구 테헤란로1길 28-11,127.0282608,37.50055446
시간공방 종로점,관철동 45-1,서울 종로구 우정국로2길 21 대왕빌딩 6층,126.9842833,37.56970174
윙스터디 강남역점,서초동 1316-28,서울 서초구 서초대로73길 7 우송빌딩 지하2층,127.0252756,37.49813212
프레쉬스터디카페 종로본점,관철동 7-1,서울 종로구 삼일대로 391 7층,126.9873811,37.5694833
르하임스터디카페 송파점,송파동 143-2,서울 송파구 가락로 209 사이언스빌딩 301호,127.116161,37.50719583
엘스터디카페,,서울 서대문구 창천동 72-34 2층,126.9330814,37.55684699
비에이블스터디카페 공릉센터,공릉동 408-6,서울 노원구 공릉로43길 1 대상빌딩 5층,127.0793213,37.62612185
위드스페이스,충정로2가 2-2,서울 서대문구 통일로 135 충정빌딩 4층,126.9654639,37.56642534
코지모임공간 교대점,서초동 1674-4,서울 서초구 서초대로 320 3층,127.016574,37.49421666
고릴라스페이스,역삼동 620,서울 강남구 봉은사로18길 85 2층,127.0278459,37.501237
덤보스터디카페,서교동 376-15,서울 마포구 잔다리로 62-1 1층,126.9176119,37.55349704
그레이프라운지 강남,서초동 1308-24,"서울 서초구 서초대로73길 38 2, 3층",127.0245593,37.50068732
작심스터디카페 서울대입구역점,봉천동 852-4,"서울 관악구 남부순환로 1833 2, 3층",126.9538515,37.48112626
랭스터디카페 신림점,신림동 1428-23,서울 관악구 신림로 376 2층,126.9289325,37.48791053
제일스터디카페,노량진동 83-10,서울 동작구 노량진로14길 33 지하1층,126.942715,37.51220523
위넌스터디카페 미아점,미아동 202-12,서울 강북구 도봉로 247 3층,127.0241723,37.63046293
초심스터디카페 강남역점,역삼동 819-9,서울 강남구 강남대로92길 13 5층,127.0284565,37.49904182
비에이블스터디카페 반포센터,반포동 53-3,서울 서초구 고무래로10길 17 정산빌딩 1층,127.0104431,37.50119988
작심스터디카페 서울명지대점,남가좌동 324-2,서울 서대문구 거북골로 23 꼬마빌딩 2층,126.9248495,37.58000816
윙스터디 신촌점,창천동 62-59,서울 서대문구 연세로5다길 14 지하 1층,126.9347575,37.55661417
랭스터디카페,자양동 5-55,서울 광진구 아차산로34길 26 2층,127.0691294,37.53900734
위넌스터디카페 한양대점,행당동 159-6,서울 성동구 마조로3길 7-1 2층,127.0396455,37.55845655
랭스터디카페 경희대점,회기동 57-11,서울 동대문구 회기로 163 2층,127.0542671,37.59084244
어라운드스터디카페 숙대점,청파동3가 114-8,서울 용산구 청파로47가길 9-4 지층,126.9669921,37.54425665
르하임스터디카페독서실 상도점,노량진동 310-64,서울 동작구 장승배기로 98 3층,126.9399653,37.50631706
위넌스터디카페 면목역점,면목동 126-1,서울 중랑구 면목로 429 2층,127.0868608,37.59018248
르하임스터디카페 등촌점,등촌동 698-1,서울 강서구 공항대로41길 66 세신종합상가 2층,126.8465773,37.56063214
위넌스터디카페 잠실학원사거리점,잠실동 242-3,"서울 송파구 석촌호수로 106 2,3층",127.0886555,37.50768145
초심스터디카페 미아뉴타운점,미아동 682-11,서울 강북구 삼양로 162 젬스톤프라자 6층,127.0216264,37.61838464
셀스스터디룸,사당동 1019-46,서울 동작구 동작대로 49,126.9815073,37.48105133
타임스터디카페 마포점,대흥동 549-2,서울 마포구 토정로31길 55-10 3층,126.9437366,37.54348199
랭스터디카페 대학로점,동숭동 1-63,서울 종로구 대학로10길 15-11 3층,127.0027782,37.58227033
힐스터디,역삼동 831-3,서울 강남구 강남대로78길 8,127.0300803,37.49469622
트레바리 강남아지트,역삼동 819-6,서울 강남구 강남대로92길 19 여원빌딩 3~10층,127.0289103,37.4991836
시작스터디카페 종로점,인의동 112-2,서울 종로구 창경궁로 109 세운스퀘어 1층,126.9970902,37.57235195
작심스터디카페 잠실석촌역점,석촌동 290-8,서울 송파구 송파대로 415 지하1층,127.1078742,37.50394941
위넌스터디카페 강남구청점,삼성동 1-2,서울 강남구 학동로56길 8 지하 1층,127.0422306,37.51679106
작심스터디카페 서울목동역점,신정동 1006-2,서울 양천구 목동로 173 4층,126.8646423,37.52398768
지니24스터디카페 아현점,북아현동 154-1,서울 서대문구 신촌로35길 7 2층,126.9551194,37.55780385
공존스터디카페 교대점,서초동 1659-21,서울 서초구 서초중앙로20길 37 파라오하우스 5층,127.0162371,37.49254069
타임유스터디카페 공릉점,공릉동 312-4,서울 노원구 동일로197길 21 우성빌딩 4층,127.0702351,37.62840699
더공간스터디카페 강남역점,역삼동 826-36,서울 강남구 테헤란로4길 40,127.0305154,37.49581809
비에이블스터디카페 잠실센터,잠실동 176-4,서울 송파구 백제고분로7길 3 2층,127.0794022,37.51049995
럭키스터디카페,창천동 29-20,"서울 서대문구 연세로2길 25 2, 3층",126.9383288,37.5562778
채움스터디카페,노고산동 1-10,서울 마포구 신촌로 150 신촌포스빌 203호,126.9421274,37.55625873
르하임스터디카페 영등포문래점,문래동3가 77-58,서울 영등포구 선유로 50 2층,126.8893079,37.51828817
어라운드스터디카페 중곡2호점,중곡동 21-9,서울 광진구 용마산로 106 대원빌딩 2층,127.087261,37.56312228
스카이캐슬스터디카페대치점,대치동 907-3,서울 강남구 역삼로63길 5,127.0522588,37.50151004
위넌스터디카페 서울대입구점,봉천동 1599-2,"서울 관악구 남부순환로226길 20 2, 3층",126.953562,37.47981001
손스스터디카페,노량진동 148-87,서울 동작구 노량진로 174 지하1층,126.9453066,37.51350199
24시간스터디카페 프리카페 성균관대점,명륜3가 127,서울 종로구 창경궁로29길 25 명륜빌딩 2층 205호,126.9974218,37.58375302
CNNtheBiz 강남교육연수센터,역삼동 619-16,서울 강남구 테헤란로1길 48,127.0270925,37.50145715
시간공방 신촌점,창천동 57-8,서울 서대문구 연세로5가길 1 6층,126.9360978,37.55705047
르하임스터디카페 여의도점,여의도동 44-37,"서울 영등포구 여의대방로 375 아일렉스타워 8층 803,804호",126.9307759,37.51889845
작심스터디카페 상왕십리역점,하왕십리동 946-22,"서울 성동구 왕십리로31가길 34-2 지하1층, 1~4층",127.0296539,37.56368114
이제마 스터디카페,사당동 1031-24,"서울 동작구 동작대로3길 10 7,8층",126.9808238,37.47846107
어라운드스터디카페 방배카페골목점,방배동 777-20,서울 서초구 방배중앙로 156,126.9867155,37.49295434
어라운드스터디카페 휘경점,휘경동 42-23,서울 동대문구 망우로 101 JS빌딩 9층,127.0644379,37.59098477
작심스터디카페 서울대치은마점,대치동 1019-11,서울 강남구 삼성로 227 지하1층,127.0613126,37.49743322
옐로스톤스터디룸,노량진동 117-21,서울 동작구 만양로14가길 27,126.9447317,37.51271646
작심스터디카페 서울압구정점,신사동 615,"서울 강남구 압구정로 214 현대종합상가빌딩 3층 가,나호",127.0307329,37.52799409
홀릭스터디카페 구로점,구로동 569-25,"서울 구로구 새말로 18 백봉빌딩 7,8층",126.8831335,37.50199271
더공간스터디카페 한양대점,행당동 16-53,서울 성동구 사근동길 6 5층,127.0420179,37.56014223
작심스터디카페 서울교대점,서초동 1656-13,"서울 서초구 서초대로52길 38 2,3층",127.0145993,37.49212206
플라이스터디카페,도화동 1-12,서울 마포구 새창로 40 4층,126.9540399,37.54124389
코지모임공간 강남점1호점,역삼동 825-9,서울 강남구 강남대로 378 준빌딩 14층,127.0286317,37.49665371
열공다방스터디카페 신대방사거리점,신대방동 344-15,서울 동작구 보라매로 91 3층,126.9276567,37.49753332
열공다방스터디카페 서울시립대점,전농동 103-103,서울 동대문구 전농로 217-3 선일빌딩 3층,127.053065,37.58354692
어라운드스터디카페 돈암점,동소문동6가 26,서울 성북구 동소문로13길 12 3층,127.0128981,37.59240786
비에이블스터디카페 압구정시그니처센터,신사동 529,서울 강남구 압구정로 112 동광빌딩 지하1층,127.0211217,37.52323928
스터디카페 Nest24 강남역1호점,역삼동 827-24,서울 강남구 테헤란로6길 48,127.0316099,37.49553185
시작스터디카페 양재시민의숲역점,양재동 332-9,"서울 서초구 동산로2길 23 1층, 지하1층",127.0423977,37.46893437
비에이블스터디카페 마포센터,신수동 31-1,서울 마포구 백범로 71 숨도빌딩 6층,126.9396944,37.54911107
어라운드스터디카페 은평점,대조동 226-3,서울 은평구 서오릉로 134 메디칼 7층 701호,126.9181276,37.61101132
작심스터디카페 혜화점,명륜2가 8-67,서울 종로구 창경궁로 253-1 3층,126.9996615,37.58420567
그루스터디카페 강남대치사거리센터,대치동 905,서울 강남구 역삼로69길 10 예가빌딩 3층,127.0540276,37.50222205
곰달래스터디카페,화곡동 897-22,서울 강서구 곰달래로 144,126.8488722,37.53054576
랭스터디카페 고려대점,안암동5가 104-34,서울 성북구 고려대로24길 55 3층,127.0296023,37.58372212
시작스터디카페 문정점,문정동 70-14,서울 송파구 새말로 101 형수빌딩 2층,127.1254473,37.4828937
위넌스터디카페 교대점,서초동 1576-5,서울 서초구 서초중앙로 101 신아빌딩 지하 1층,127.0138993,37.49075271
