주소,입력주소,경도,위도
정릉동 508-69,서울시  정릉동 508-69,127.00519,37.598635
정릉동 383-4,서울시  정릉동 383-4,127.009046,37.607543
정릉동 712-73,서울시  정릉동 712-73,127.005858,37.611408
정릉동 410-12,서울시  정릉동 410-12,127.012033,37.608631
정릉동 260-3,서울시  정릉동 260-3,127.009167,37.61386
정릉동 165-22,서울시  정릉동 165-22,127.01293,37.605025
정릉동 410-46,서울시  정릉동 410-46,127.011774,37.609413
정릉동 266-516,서울시  정릉동 266-516,127.009748,37.611
정릉동 266-104,서울시  정릉동 266-104,127.009861,37.61192
정릉동 508-8,서울시  정릉동 508-8,127.005724,37.599324
길음동 1084,서울시  길음동 1084,127.0247,37.605736
종암동 57-94,서울시  종암동 57-94,127.027814,37.597905
종암동 34-22,서울시  종암동 34-22,127.033959,37.593864
종암동 45-209,서울시  종암동 45-209,127.034028,37.596397
종암동 7-54,서울시  종암동 7-54,127.037313,37.596315
종암동 7-35,서울시  종암동 7-35,127.037,37.596917
종암동 8-21,서울시  종암동 8-21,127.038035,37.595637
종암동 7-97,서울시  종암동 7-97,127.037184,37.594053
종암동 9-116,서울시  종암동 9-116,127.038475,37.596631
종암동 3-1123,서울시  종암동 3-1123,127.034455,37.600122
하월곡동 73-81,서울시  하월곡동 73-81,127.040218,37.607305
하월곡동 15-8,서울시  하월곡동 15-8,127.043424,37.60279
하월곡동 90-1847,서울시  하월곡동 90-1847,127.034979,37.603442
하월곡동 90-207,서울시  하월곡동 90-207,127.033037,37.604696
장위동 232-7,서울시  장위동 232-7,127.046325,37.615121
장위동 68-138,서울시  장위동 68-138,127.051942,37.610742
장위동 229-58,서울시  장위동 229-58,127.042221,37.614538
장위동 231-325,서울시  장위동 231-325,127.039584,37.614364
장위동 230-75,서울시  장위동 230-75,127.042184,37.6147
장위동 50-21,서울시  장위동 50-21,127.059315,37.612531
장위동 233-278,서울시  장위동 233-278,127.045326,37.6135
장위동 231-216,서울시  장위동 231-216,127.038803,37.613393
장위동 246-15,서울시  장위동 246-15,127.047519,37.609445
장위동 231-388,서울시  장위동 231-388,127.041766,37.612877
장위동 118-10,서울시  장위동 118-10,127.055482,37.616501
장위동 238-304,서울시  장위동 238-304,127.051224,37.614638
장위동 76-48,서울시  장위동 76-48,127.05243,37.616891
장위동 246-173,서울시  장위동 246-173,127.047187,37.609722
장위동 225-19,서울시  장위동 225-19,127.046082,37.614651
장위동 238-80,서울시  장위동 238-80,127.050774,37.614436
장위동 219-231,서울시  장위동 219-231,127.044183,37.616942
장위동 230-132,서울시  장위동 230-132,127.043255,37.61515
장위동 219-236,서울시  장위동 219-236,127.044542,37.617224
장위동 230-204,서울시  장위동 230-204,127.041194,37.615116
장위동 230-119,서울시  장위동 230-119,127.041245,37.615531
장위동 233-517,서울시  장위동 233-517,127.046214,37.612264
장위동 229-17,서울시  장위동 229-17,127.042967,37.614607
장위동 219-101,서울시  장위동 219-101,127.043725,37.617362
장위동 231-221,서울시  장위동 231-221,127.038309,37.613038
