입력주소,경도,위도
서울시  불광동 219-11,126.931828,37.619402
서울시  불광동 259-10,126.929036,37.613448
서울시  불광동 331-70,126.926168,37.619108
서울시  불광동 281-150,126.931144,37.610188
서울시  불광동 157-3,126.930627,37.622572
서울시  불광동 451-14,126.926757,37.626204
서울시  불광동 445-277,126.92391,37.626475
서울시  불광동 480-247,126.923349,37.623749
서울시  불광동 484-48,126.920795,37.621744
서울시  불광동 11-10,126.933134,37.61681
서울시  불광동 346-8,126.928166,37.619594
서울시  불광동 481-18,126.921162,37.62536
서울시  불광동 512,126.920372,37.626695
서울시  불광동 514,126.920472,37.626877
서울시  불광동 442-76,126.924753,37.624573
서울시  불광동 13-11,126.93316,37.618901
서울시  불광동 331-137,126.92771,37.618248
서울시  불광동 379-34,126.921897,37.62233
서울시  불광동 476-6,126.920121,37.627612
서울시  불광동 218-19,126.93144,37.619624
서울시  불광동 600-9,126.932585,37.611642
서울시  불광동 331-132,126.928229,37.618415
서울시  불광동 8-155,126.933056,37.613512
서울시  불광동 479-18,126.921295,37.62637
서울시  불광동 21-5,126.933407,37.622246
서울시  불광동 484-92,126.920705,37.623293
서울시  불광동 444-50,126.926632,37.623878
서울시  갈현동 300-31,126.914164,37.626683
서울시  갈현동 448-3,126.914159,37.62007
서울시  갈현동 492-6,126.913873,37.614796
서울시  갈현동 406-25,126.91793,37.621717
서울시  갈현동 515-5,126.91324,37.617809
서울시  갈현동 434-30,126.916059,37.621052
서울시  갈현동 25-6,126.917262,37.625586
서울시  갈현동 411-2,126.918453,37.623894
서울시  갈현동 486-3,126.915533,37.615893
서울시  갈현동 6-66,126.917274,37.627874
서울시  갈현동 326-26,126.90774,37.616722
서울시  갈현동 523-41,126.910824,37.618814
서울시  갈현동 517-40,126.912678,37.618317
서울시  갈현동 479-9,126.917184,37.616115
서울시  갈현동 444-16,126.91535,37.621468
서울시  갈현동 450-26,126.914935,37.619681
서울시  갈현동 300-32,126.914268,37.626594
서울시  갈현동 478-4,126.915979,37.615618
서울시  갈현동 256-10,126.912665,37.621534
서울시  갈현동 464-21,126.916872,37.612625
서울시  갈현동 330-2,126.908027,37.616463
서울시  갈현동 460-31,126.918263,37.616702
서울시  갈현동 512-24,126.913233,37.61671
서울시  갈현동 197-9,126.915547,37.616479
서울시  갈현동 6-34,126.918383,37.626371
서울시  갈현동 434-27,126.916177,37.621485
서울시  갈현동 495-3,126.914478,37.616036
서울시  갈현동 479-13,126.917406,37.616442
서울시  갈현동 476-13,126.916464,37.614991
서울시  갈현동 470-5,126.915602,37.613506
서울시  갈현동 520-12,126.91125,37.616754
서울시  구산동 25-36,126.911757,37.607677
서울시  구산동 355-36,126.90641,37.613934
서울시  구산동 2-19,126.91555,37.610874
서울시  구산동 20-34,126.914169,37.60842
서울시  구산동 24-47,126.911408,37.608295
서울시  구산동 356-14,126.906584,37.613621
서울시  구산동 317-18,126.906404,37.615908
서울시  구산동 206-20,126.909657,37.613406
서울시  구산동 309-29,126.904828,37.617524
서울시  구산동 178-41,126.908421,37.608105
서울시  구산동 25-16,126.911105,37.608094
서울시  구산동 177-33,126.908071,37.606426
서울시  구산동 217-22,126.912717,37.611731
서울시  구산동 25-45,126.91223,37.607834
서울시  구산동 16-2,126.912412,37.610125
서울시  구산동 21-45,126.914892,37.607796
서울시  구산동 22-11,126.913975,37.607751
서울시  구산동 9-34,126.913093,37.610789
서울시  구산동 6-4,126.914361,37.611593
서울시  대조동 7-3,126.927259,37.611035
서울시  대조동 215-1,126.920672,37.614606
서울시  대조동 192-43,126.922937,37.615411
서울시  대조동 218-11,126.919456,37.61564
서울시  대조동 59-64,126.9233,37.607503
서울시  대조동 31-1,126.926228,37.610251
서울시  대조동 91-22,126.922408,37.612838
서울시  대조동 221-52,126.918802,37.614679
서울시  대조동 9-49,126.927868,37.610428
서울시  대조동 225-9,126.918487,37.612172
서울시  응암동 122-2,126.916319,37.596843
서울시  응암동 85-32,126.924404,37.601594
서울시  응암동 124-6,126.917625,37.595035
서울시  응암동 237-10,126.921733,37.593685
서울시  응암동 97-39,126.92563,37.599857
서울시  응암동 119-26,126.917986,37.595147
서울시  응암동 750-9,126.91794,37.587397
서울시  응암동 583-55,126.915512,37.59243
서울시  응암동 746-22,126.920779,37.585252
서울시  응암동 120-36,126.918015,37.596273
서울시  응암동 110-50,126.920249,37.599195
서울시  응암동 397-294,126.918609,37.592756
서울시  응암동 102-12,126.923781,37.599254
서울시  응암동 99-23,126.92515,37.600114
서울시  응암동 126-47,126.916648,37.594504
서울시  응암동 118-77,126.91698,37.597336
서울시  응암동 733-36,126.919919,37.584415
서울시  응암동 588-23,126.91509,37.590237
서울시  응암동 101-38,126.924145,37.598384
서울시  응암동 120-49,126.917604,37.595702
서울시  응암동 749-42,126.918595,37.588304
서울시  응암동 99-54,126.925032,37.599671
서울시  응암동 118-31,126.917633,37.596837
서울시  응암동 195-25,126.924557,37.59727
서울시  역촌동 32-18,126.917848,37.603894
서울시  역촌동 77-45,126.909267,37.602103
서울시  역촌동 39-25,126.91704,37.60104
서울시  역촌동 10-77,126.916365,37.606214
서울시  역촌동 25-32,126.920063,37.605789
서울시  역촌동 64-29,126.913085,37.603544
서울시  역촌동 61-11,126.914028,37.60413
서울시  역촌동 40-5,126.919893,37.602652
서울시  역촌동 66-38,126.914764,37.602614
서울시  역촌동 187-35,126.907593,37.60198
서울시  역촌동 25-6,126.920455,37.605306
서울시  역촌동 81-26,126.912638,37.601567
서울시  역촌동 81-29,126.912629,37.601396
서울시  역촌동 70-12,126.909959,37.60438
서울시  역촌동 67-26,126.912611,37.60345
서울시  역촌동 11-58,126.916355,37.606908
서울시  역촌동 28-13,126.920686,37.603398
서울시  역촌동 26-48,126.921029,37.605545
서울시  역촌동 51-1,126.912492,37.606179
서울시  역촌동 49-54,126.911558,37.607333
서울시  역촌동 30-24,126.919813,37.60348
서울시  역촌동 36-21,126.916801,37.601119
서울시  역촌동 4-9,126.91897,37.608563
서울시  역촌동 12-39,126.916843,37.607561
서울시  역촌동 34-16,126.917274,37.602862
서울시  역촌동 25-112,126.919476,37.6049
서울시  역촌동 80-23,126.911577,37.602125
서울시  역촌동 65-10,126.914542,37.603017
서울시  역촌동 54-15,126.910017,37.605012
서울시  신사동 40-13,126.909542,37.595655
서울시  신사동 31-8,126.911958,37.59538
서울시  신사동 5-24,126.911322,37.599446
서울시  신사동 6-49,126.911876,37.60028
서울시  신사동 35-9,126.91362,37.594025
서울시  신사동 6-15,126.912405,37.599709
서울시  신사동 17-3,126.90963,37.59898
서울시  신사동 37-9,126.912392,37.594401
서울시  신사동 15-60,126.90843,37.599735
서울시  신사동 211-7,126.907212,37.59548
서울시  신사동 202-9,126.907932,37.595036
서울시  신사동 237-453,126.905885,37.594062
서울시  신사동 335-17,126.913054,37.59247
서울시  신사동 350-27,126.912097,37.590542
서울시  신사동 226-1,126.908133,37.596029
서울시  신사동 26-35,126.9123,37.597608
서울시  신사동 15-24,126.907909,37.599739
서울시  신사동 15-3,126.909395,37.599555
서울시  신사동 28-28,126.912136,37.597192
서울시  신사동 349-17,126.911708,37.590791
서울시  신사동 350-7,126.912655,37.591061
서울시  신사동 15-2,126.909211,37.599751
서울시  신사동 237-49,126.905126,37.597218
서울시  신사동 1-123,126.911998,37.600462
