가게,주소,도로명주소,경도,위도
메가박스 성수,성수동1가 656-335,서울 성동구 왕십리로 50 메가박스 스퀘어 3층,127.0449101,37.5418858
CGV 청담씨네시티,신사동 651-21,서울 강남구 도산대로 323,127.0370226,37.52289929
CGV 용산아이파크몰,한강로3가 40-999,서울 용산구 한강대로23길 55 아이파크몰 6층,126.964861,37.52982602
CGV 영등포,영등포동4가 442,서울 영등포구 영중로 15 타임스퀘어 4~7층,126.903642,37.51721812
CGV 신촌아트레온,창천동 20-25,서울 서대문구 신촌로 129 아트레온 2층,126.9402758,37.55656601
CGV 피카디리1958,돈의동 137,서울 종로구 돈화문로5가길 1 지하2층,126.9912459,37.57103537
CGV 건대입구,자양동 9-4,서울 광진구 아차산로30길 26 몰오브케이 3층,127.0668922,37.53974999
CGV 압구정,신사동 602,서울 강남구 압구정로30길 45,127.0293854,37.52432096
CGV 여의도,여의도동 23-1,서울 영등포구 국제금융로 10 국제금융센터 지하3층,126.9258982,37.52503376
메가박스 신촌,신촌동 74-12,서울 서대문구 신촌역로 30 밀레오레 5층,126.9424096,37.55980026
메가박스 동대문,을지로6가 18-221,서울 중구 장충단로 247 굿모닝시티 9층,127.0073561,37.56680268
CGV 강남,역삼동 814-6,서울 강남구 강남대로 438 스타플렉스,127.0263643,37.50161333
CGV 구로,구로동 573,서울 구로구 구로중앙로 152,126.8827843,37.5011494
메가박스 홍대,동교동 160-4,서울 마포구 양화로 147 아일렉스 7층,126.922052,37.55604835
메가박스 목동,목동 917-6,서울 양천구 목동동로 309 행복한세상백화점 6층,126.8759854,37.52920737
CGV 홍대,동교동 159-8,서울 마포구 양화로 153 4층,126.9226133,37.55648911
메가박스 강남,서초동 1317-20,서울 서초구 서초대로77길 3 아라타워 8층,127.0265112,37.49806741
메가박스 코엑스,삼성동 159,서울 강남구 영동대로 513 코엑스몰 지하1층,127.0591223,37.51186417
롯데시네마 월드타워,신천동 29,서울 송파구 올림픽로 300 롯데월드몰 엔터테인먼트동 5~11층,127.104302,37.51372598
CGV 왕십리,행당동 168-151,서울 성동구 왕십리광장로 17 민자역사 5층,127.0383836,37.56126547
메가박스 송파파크하비오,문정동 618,서울 송파구 송파대로 111 파크하비오푸르지오 204동 지하1층,127.1235143,37.48200926
메가박스 이수,사당동 147-98,서울 동작구 동작대로 89 골든시네마타워 7층,126.9816851,37.48463884
CGV 천호,천호동 42,서울 강동구 양재대로 1571 홈플러스 4층,127.142249,37.54568914
CGV 수유,수유동 168-12,서울 강북구 도봉로 399,127.0298048,37.64240706
메가박스 마곡,마곡동 797-1,서울 강서구 공항대로 247 퀸즈나인 B동 4층,126.8349076,37.55930929
CGV 강변,구의동 546-4,서울 광진구 광나루로56길 85 테크노마트 10층,127.095742,37.53563986
CGV 동대문,을지로6가 17-2,서울 중구 장충단로13길 20 현대시티아울렛 동대문점 내,127.007651,37.56873591
CGV 명동,명동2가 83-5,서울 중구 명동길 14 눈스퀘어 8층,126.9837297,37.56513579
CGV 상봉,상봉동 501,서울 중랑구 상봉로 131 상봉듀오트리스 지하2층,127.0922043,37.59736204
메가박스 상봉,상봉동 130-3,서울 중랑구 망우로30길 3,127.0747566,37.59306852
롯데시네마 건대입구,자양동 227-7,서울 광진구 아차산로 272 스타시티 2층,127.0730372,37.53854294
메가박스 화곡,화곡동 1073-10,서울 강서구 화곡로 142 메가스퀘어 4층,126.8375641,37.54057432
메가박스 군자,군자동 477-12,서울 광진구 능동로 289,127.0783477,37.55577815
롯데시네마 용산,한강로3가 16-9,서울 용산구 청파로 74 용산전자랜드 4~5층,126.9589574,37.53270992
