건물명,주소,위도,경도
아키죤II, 가락동 101-4,37.49027562,127.1208365
성해, 가락동 101-5,37.49015424,127.1208985
한신1, 가락동 102,37.48969004,127.1216737
현대빌라트1, 가락동 1-10,37.50390472,127.1241283
로즈힐파크(A동), 가락동 111-13,37.49215043,127.1230717
가락우성2, 가락동 120-4,37.49188378,127.1255074
신한빌라트-신한미지엔, 가락동 130-14,37.49422849,127.1262463
청공빌딩주상복합-현대빌리지, 가락동 137-3,37.49280906,127.1281481
가락미륭아파트, 가락동 138,37.49371945,127.128684
가락(1차)쌍용아파트, 가락동 140,37.49576616,127.1280705
가락그랑밸리, 가락동 141-7,37.4945504,127.1265538
풍림1, 가락동 142,37.4956795,127.1263732
가락한일유앤아이, 가락동 142-1,37.49589197,127.1264696
동성아파트(101동), 가락동 15,37.50095115,127.12544
동성아파트(103동), 가락동 15-11,37.50055564,127.1256689
현대(60동), 가락동 161-1,37.50032082,127.1298203
현대(5차), 가락동 161-2,37.50004383,127.1302521
e지브로, 가락동 16-21,37.50067208,127.1246946
래미안파크팰리스, 가락동 165,37.49811482,127.1320171
진넥스 베르디엠, 가락동 166-10,37.4973469,127.1333757
대련, 가락동 166-15,37.49691968,127.1330499
sk파크타워, 가락동 166-2,37.497941,127.1343158
삼성프라자, 가락동 168-1,37.49663656,127.1351673
그린아파트, 가락동 1-7,37.50374549,127.1236994
현진타워, 가락동 171,37.497595,127.1344434
현대7, 가락동 171-5,37.4969458,127.1335891
금홍해오름, 가락동 173-4,37.49656226,127.1340206
동궁리치웰1, 가락동 173-6,37.49659769,127.1343082
삼환, 가락동 176,37.49533483,127.1365287
주성드림아파트, 가락동 177-7,37.49405899,127.1373505
우민 - 늘푸른아파트, 가락동 177-8,37.49416009,127.1374846
극동, 가락동 192,37.4956653,127.1326748
동궁리치웰(101동), 가락동 196-1,37.49366311,127.1322534
프라임레지던스, 가락동 196-3,37.49332654,127.1318546
금성프라자1, 가락동 197-12,37.49303347,127.1322524
가락현대투웰브(102동), 가락동 198-13,37.49208575,127.1318609
프라자, 가락동 199,37.49200052,127.133557
가락쌍용(2차), 가락동 21-6,37.50151623,127.1223087
카나피아Ⅱ, 가락동 34-1,37.49914702,127.1246289
송파동부쎈트레빌, 가락동 478,37.50047335,127.1091295
헬리오시티, 가락동 479,37.49742843,127.1071048
쌍용스윗닷홈(105동), 가락동 51-1,37.49836113,127.122446
"가락3차쌍용스윗닷홈 101동, 102동", 가락동 53,37.4976976,127.1234922
가락3차쌍용스윗닷홈(103동), 가락동 54,37.4975158,127.1231552
현대(6차), 가락동 55,37.49722655,127.1226238
정산파크뷰, 가락동 6-8,37.50271611,127.1235822
대림, 가락동 70-19,37.49949031,127.1185774
송파 N suite, 가락동 77-7,37.49538674,127.1214162
한화오벨리스크, 가락동 78-1,37.49484889,127.1218989
롯데캐슬, 가락동 79,37.4944168,127.1215738
가락스타클래스, 가락동 8,37.50287913,127.1261068
성원상떼빌, 가락동 80,37.4950451,127.1204038
우정에쉐르, 가락동 8-1,37.50263477,127.1258081
보보스하우스 A, 가락동 93-1,37.49880829,127.1177382
보보스하우스 B, 가락동 93-2,37.49871206,127.1175607
그랜드, 가락동 93-4,37.49851833,127.1172034
동부센트레빌, 가락동 95,37.49796837,127.1163929
가락금호아파트, 가락동 95-1,37.49623734,127.1164356
우성, 가락동 96-1,37.49658715,127.1176022
이연파레스, 가락동 97-8,37.49489374,127.118434
두산위브, 가락동 98,37.49457759,127.1191742
동부썬빌, 가락동 99-6,37.49340956,127.1196905
효성, 가리봉동 139,37.47894272,126.8953002
G밸리 페트라 힐스, 가산동 139-15,37.47911299,126.8890534
비즈트위트바이올렛5차, 가산동 140-36,37.47812938,126.8898575
가산지웰에스테이트, 가산동 140-9,37.47838377,126.8904994
가산양우내안에애플, 가산동 141-2,37.47889001,126.8911517
가산 지웰 에스테이트 2차, 가산동 143-6,37.47743909,126.8908974
덕산, 가산동 148-1,37.47671531,126.8960482
해찬행복드림, 가산동 153-9,37.47378123,126.894031
삼익, 가산동 234-46,37.47288387,126.8929992
두산, 가산동 769,37.47597791,126.8915738
주상복합두산, 가산동 772,37.47548822,126.8936265
온누리, 가산동 774,37.47389735,126.8869045
씨앤에스타워, 가산동 777,37.48270802,126.8829049
가양우성, 가양동 14-3,37.56223708,126.8541173
동신대아, 가양동 1459,37.57219617,126.8433686
한강타운, 가양동 1460,37.57148333,126.8451007
가양2단지(성지), 가양동 1461,37.57060234,126.8472141
강서한강월드메르디앙, 가양동 1462,37.56985027,126.8440468
중앙하이츠, 가양동 1467,37.56979361,126.8492832
대림경동아파트, 가양동 1474,37.56632717,126.8540314
강변, 가양동 1475,37.56524199,126.8554306
가양도시개발공사4단지(임대), 가양동 1478,37.5651094,126.8526296
가양도시개발공사5단지(임대), 가양동 1481,37.56349349,126.8554784
가양도시개발공사8단지(임대), 가양동 1482,37.56215848,126.8566744
가양6단지, 가양동 1485,37.56302028,126.859364
가양주공7단지(임대), 가양동 1486,37.56201102,126.8616938
가양도시개발9-1단지, 가양동 1489,37.56012669,126.8614172
가양도시개발9-2단지, 가양동 1490,37.55873211,126.8635643
한보구암마을, 가양동 1495,37.56809544,126.8490595
일신건영휴먼빌, 가양동 1496,37.56891874,126.8422298
가양1차보람더하임, 가양동 1497,37.56714187,126.8485581
강서한강자이, 가양동 1500,37.56639935,126.8487356
마곡 보타닉, 가양동 235-4,37.5724139,126.8395827
향교, 가양동 251-5,37.57089236,126.8400995
강나루2현대, 가양동 448,37.5611999,126.855821
가양강나루현대, 가양동 448-1,36.3492706,127.4402464
보광드림타운, 가양동 448-10,36.34820081,127.440546
빛고을우방, 가양동 448-9,36.34814832,127.4409176
라이프시티, 갈현동 267-1,37.40472254,126.9842052
천지, 갈현동 276-37,37.62246384,126.9150352
대양, 갈현동 281-208,37.62497835,126.9115664
인우(281-215), 갈현동 281-215,37.6248774,126.9119136
인우(281-236), 갈현동 281-236,37.62474711,126.9116832
해오름, 갈현동 327-40,37.61702723,126.9092575
한우리, 갈현동 327-54,37.61615426,126.9102877
골드스타, 갈현동 456-19,37.61807751,126.9193763
만연센텀시티, 갈현동 456-8,37.61847492,126.9194952
연서노벨(463-16), 갈현동 463-16,37.61368938,126.917037
동광갈현베르빌, 갈현동 465-12,37.42691882,127.1630593
역촌맨션, 갈현동 467-2,37.61362356,126.9163781
플라잉캐슬, 갈현동 468-4,37.41834865,126.9777998
베로니스, 갈현동 468-5,37.4183504,126.978064
행운, 갈현동 474-4,37.42764407,127.1611363
지캐슬, 갈현동 487-2,37.42331894,127.1586111
천수, 갈현동 488-16,37.42154134,127.1573509
명성, 갈현동 521-2,37.41949634,127.1561895
웰빙, 갈현동 522-16,37.61768558,126.9107012
갈현동현대, 갈현동 537,37.41590423,126.9745421
미미, 갈현동 538,37.41583984,126.9754714
한솔, 갈현동 539,37.41581494,126.9755718
우남, 갈현동 540,37.41535084,126.9756887
갈현건영, 갈현동 541-1,37.42273718,127.1563831
현재트윈빌, 갈현동 542-1,37.4217363,127.1557174
메카, 갈현동 543,37.41502608,126.9763013
갈현삼성, 갈현동 544,37.41433728,126.9766934
코오롱하늘채, 갈현동 545,37.41405811,126.9769109
유호루하스, 갈현동 548,37.41353783,126.9764852
대한웰빙홈, 갈현동 549,37.41396758,126.9760005
강동리버스트4단지, 강일동 114,37.57292046,127.1724054
강일리버파크1단지, 강일동 665,37.56762859,127.1721259
강일리버파크2단지, 강일동 668,37.5694212,127.1760754
강일리버파크5단지, 강일동 670,37.56759086,127.1781922
강일리버파크4단지, 강일동 673,37.56716117,127.1763912
강일리버파크3단지, 강일동 674,37.56680261,127.1745965
강일리버파크6단지, 강일동 684,37.56388764,127.1764215
강일리버파크7단지, 강일동 686,37.56478823,127.1789469
강일리버파크11단지, 강일동 689,37.56304663,127.1800463
강일리버파크10단지, 강일동 695,37.56006265,127.1807136
강일리버파크9단지, 강일동 699,37.56004931,127.1787915
강일리버파크8단지, 강일동 701,37.56143562,127.1769767
고덕리엔파크1단지, 강일동 707,37.56096543,127.1715286
고덕리엔파크2단지, 강일동 717,37.5597862,127.1731783
푸르내, 강일동 730-2,37.55650945,127.1723394
신개봉삼환, 개봉동 170-30,37.49663641,126.8579203
청실, 개봉동 175-8,37.49546543,126.8597433
창동, 개봉동 20-1,37.5040136,126.8427168
거성, 개봉동 270-80,37.48911153,126.8510389
레오, 개봉동 304-12,37.4931917,126.8538413
건양, 개봉동 304-16,37.4931077,126.8545772
신세기, 개봉동 306-3,37.49383487,126.8533261
길훈, 개봉동 312-38,37.48363861,126.8511508
비젼, 개봉동 333-6,37.49159206,126.8521528
동인, 개봉동 335-1,37.49360059,126.8487194
왕궁, 개봉동 366-1,37.48563141,126.8549704
우성, 개봉동 469,37.50446581,126.8436795
삼환, 개봉동 470,37.49481277,126.8543745
삼호, 개봉동 471,37.49434989,126.8573405
건영, 개봉동 47-1,37.5014666,126.8408289
두산, 개봉동 472,37.49493066,126.8526647
상우, 개봉동 473,37.49372333,126.8609657
영화, 개봉동 475,37.4961641,126.8600185
한마을, 개봉동 476,37.49528465,126.8624207
대상, 개봉동 477,37.48230769,126.8497738
한진, 개봉동 478,37.48455362,126.8517983
진로, 개봉동 479,37.4905152,126.8508849
현대홈타운, 개봉동 480,37.49150672,126.8619246
현대, 개봉동 481,37.49207822,126.8583034
율포그레이스빌, 개봉동 483,37.49479878,126.8556824
고운아파트, 개봉동 484,37.49891212,126.850719
개봉동상우, 개봉동 487,37.49354973,126.8621495
영화아이닉스, 개봉동 488,37.48275459,126.8492121
개봉동현대아이파크, 개봉동 489,37.48998401,126.8598094
LIP e-푸른아파트, 개봉동 491,37.49307145,126.8501014
개봉푸르지오, 개봉동 492,37.50038052,126.8481531
한양아이클래스 구로, 개봉동 493,37.49538005,126.8569115
센트레빌레우스1단지, 개봉동 497,37.49631967,126.8539747
거성푸르뫼, 개봉동 60-101,37.50085884,126.8435253
거성푸르뫼2, 개봉동 60-82,37.50011024,126.843442
수영힐(나동), 개봉동 63-15,37.50118433,126.84469
동도센트리움(70-12), 개봉동 70-12,37.49827196,126.8467015
새롬(1164-12), 개포동 1164-12,37.47318835,127.0529518
새롬(1164-13), 개포동 1164-13,37.47328316,127.0530958
새롬(1164-14), 개포동 1164-14,37.47337802,127.0532398
리더스, 개포동 1164-25,37.47439509,127.054816
포이벨리, 개포동 1164-28,37.47462706,127.0551882
뉴현대파크빌, 개포동 1164-30,37.47481835,127.0547912
아람손프라자/비바빌, 개포동 1164-7,37.47271469,127.0522324
그린빌리지, 개포동 1167,37.47322026,127.052393
성원대치2단지아파트, 개포동 12,37.49423237,127.0754253
삼익대청아파트, 개포동 12,37.49423237,127.0754253
개포자이(12-2), 개포동 12-2,37.49629896,127.0766222
현대탑빌라, 개포동 1242-2,37.47987524,127.0460602
우찬현대(1260-11), 개포동 1260-11,37.47936637,127.0488934
우찬현대(1260-2), 개포동 1260-2,37.47950909,127.048781
우찬현대(1260-4), 개포동 1260-4,37.47954585,127.0491298
래미안블레스티지, 개포동 1280,37.48115577,127.0649035
에버그린, 개포동 166-4,37.48292394,127.0613078
현대3, 개포동 177,37.48784276,127.0608439
우성8, 개포동 179,37.48812208,127.0624521
개포주공 6단지, 개포동 185,37.48902838,127.0715359
개포주공 7단지, 개포동 185,37.48902838,127.0715359
개포주공 5단지, 개포동 187,37.48763714,127.0685036
경남1, 개포동 649,37.48448922,127.0538963
경남2차, 개포동 649,37.48448922,127.0538963
개포우성3차, 개포동 652,37.48394045,127.0560207
현대1차101동~106동, 개포동 653,37.48264078,127.0544821
현대2, 개포동 654,37.48251101,127.0513532
개포현대200동, 개포동 655-1,37.48170522,127.0526963
개포2차현대아파트(220), 개포동 655-2,37.48145984,127.0530785
쌍용, 개포동 655-3,37.48112689,127.053226
개포래미안포레스트, 개포동 656,37.4784743,127.0542081
개포6차우성아파트1동~8동, 개포동 658-1,37.47621446,127.0572161
거여리본타운, 거여동 12-1,37.49558749,127.1423864
성동레인보우, 거여동 129,37.49812623,127.1452104
삼호, 거여동 136,37.49656021,127.1436216
보화2차, 거여동 258-7,37.49033064,127.1489302
쌍용스윗닷홈2차, 거여동 27-5,37.49268917,127.1455404
쌍용스윗닷홈 거여역1차, 거여동 28,37.4920152,127.1464025
거여1단지, 거여동 290,37.49100492,127.1445997
거여2단지동아, 거여동 291,37.49029913,127.1462448
거여2단지효성, 거여동 291,37.49029913,127.1462448
거여3단지, 거여동 292,37.48995,127.1476896
거여4단지, 거여동 293,37.48922953,127.1438021
거여5단지, 거여동 294,37.4888967,127.1453248
거여6단지, 거여동 295,37.48860232,127.1466294
우방1, 거여동 356,37.49275348,127.1421821
현대1차, 거여동 362,37.49284792,127.1410307
현대2차, 거여동 44,37.49462489,127.1464107
블레스, 거여동 45-1,37.49368677,127.1474362
현대3차, 거여동 46,37.49693747,127.1450418
금호어울림, 거여동 593,37.49219594,127.1433353
삼성빌딩, 경운동 22,37.57451353,126.9883533
고덕 센트럴 푸르지오, 고덕동 210-1,37.55767904,127.1700932
상록, 고덕동 307,37.55640482,127.1539477
배재현대, 고덕동 312,37.55653902,127.1521332
대우, 고덕동 470,37.55879275,127.1449371
아남1, 고덕동 486,37.5580285,127.1459167
고덕 아이파크, 고덕동 499,37.55907314,127.1549755
고덕래미안 힐스테이트아파트, 고덕동 688,37.55894184,127.1470811
고덕그라시움, 고덕동 693,37.55807132,127.163466
서울가든, 고척동 141-1,37.50249841,126.8604686
고척리본타운, 고척동 156,37.50517197,126.8573462
해피그린(171-31), 고척동 171-31,37.50521439,126.8595597
진성, 고척동 215-5,37.5070919,126.8551294
한성, 고척동 227-1,37.50825282,126.8537732
