건물명,주소,층,거래일,거래금액,면적,평,건축년도,10평보증금평균,10평월세평균
원산, 쌍문동 138-33,2층,2020 1 31,"     3,000/        70",66.23,20.0,2002,1500.0,35.0
효성하이타운아파트, 방학동 739,4층,2020 1 4,"    29,000/         0",84.87,25.7,2002,11284.046692607006,0.0
목동무지개, 신정동 881-8,6층,2020 1 13,"    13,000/         0",81.42,24.6,2002,5284.552845528455,0.0
예지보금자리(102동), 신정동 927-4,4층,2020 1 14,"    28,000/         0",84.94,25.7,2004,10894.941634241244,0.0
삼도(101), 신월동 558-3,6층,2020 1 22,"    25,000/         0",82.88,25.1,2001,9960.1593625498,0.0
리슈리안, 신월동 500-21,6층,2020 1 29,"    28,000/         0",52.74,16.0,2015,17500.0,0.0
크래스빌, 평창동 46-1,1층,2020 1 9,"    55,000/         0",187.9,56.8,2003,9683.098591549297,0.0
명경, 신당동 432-657,3층,2020 1 20,"    26,000/         0",59.71,18.1,2002,14364.6408839779,0.0
희훈리치파크1, 길동 472,3층,2020 1 7,"    32,000/         0",84.05,25.4,2002,12598.425196850394,0.0
광남캐스빌(389-9), 길동 389-9,10층,2020 1 7,"    33,000/         0",68.46,20.7,2005,15942.028985507248,0.0
그랜드1, 둔촌동 518-1,3층,2020 1 11,"    43,000/         0",107.96,32.7,2003,13149.847094801224,0.0
대의아름누리, 암사동 671,5층,2020 1 2,"    25,000/         0",80.64,24.4,2010,10245.901639344263,0.0
라움(492-45), 암사동 492-45,2층,2020 1 7,"    31,000/         0",67.64,20.5,2006,15121.951219512195,0.0
한건브리앙, 암사동 497-6,5층,2020 1 8,"    35,000/         0",84.9,25.7,2004,13618.677042801557,0.0
대은팰리스뷰(101), 암사동 503-31,6층,2020 1 21,"    39,000/         0",84.9,25.7,2007,15175.09727626459,0.0
다성이즈빌, 암사동 488-10,5층,2020 1 23,"    35,000/         0",84.91,25.7,2011,13618.677042801557,0.0
미랜드프레임빌, 성내동 420-20,10층,2020 1 11,"    47,000/         0",92.43,28.0,2006,16785.714285714286,0.0
그랜드밸리아파트, 천호동 34-1,3층,2020 1 1,"    10,000/         0",80.07,24.2,2003,4132.231404958678,0.0
천호엘크루, 천호동 427-3,9층,2020 1 22,"    68,000/         0",144.5,43.7,2008,8352.402745995421,22.88329519450801
주성AURA, 중곡동 130-5,5층,2020 1 8,"    30,000/         0",67.76,20.5,2009,14634.146341463416,0.0
구의청정, 구의동 226-12,5층,2020 1 4,"    40,000/         0",84.75,25.6,2004,15625.0,0.0
금성, 자양동 582-15,1층,2020 1 31,"    30,000/         0",61.69,18.7,2003,13314.626549920667,6.410256410256411
마장동 해맑은아파트, 마장동 797-3,2층,2020 1 17,"    25,000/        50",84.64,25.6,2004,9765.625,19.53125
양지쉐르빌아파트, 송정동 97,8층,2020 1 17,"    28,000/         0",59.02,17.9,2016,15642.45810055866,0.0
성북좋은, 성북동 179-96,5층,2020 1 13,"    45,000/         0",92.57,28.0,2002,16071.42857142857,0.0
광남캐스빌C, 망원동 465-33,7층,2020 1 20,"    10,000/        60",65.23,19.7,2002,4093.6266215454034,34.117315284827974
동보프리미아, 망원동 463-2,10층,2020 1 20,"    32,000/         0",63.02,19.1,2004,16753.92670157068,0.0
