건물명,주소,층,거래일,거래금액,면적,평,건축년도,위도,경도,평당보증금,평당월세,평당보증금평균,평당월세평균
북한산 코오롱 하늘채, 쌍문동 732,11층,2020 12 30,"    25,000/         0",84.98,25.7,2014,37.6482553903555,127.02303655361901,972.7626459143969,0.0,1015.2136471924334,0.9484745099858982
한양2, 쌍문동 59,4층,2020 12 20,"    10,500/        53",76.92,23.3,1988,37.6569177547397,127.0314600544,450.6437768240343,2.2746781115879826,916.0152866046789,1.176640489387461
대우파크힐(쌍문동이안), 쌍문동 730,14층,2020 12 8,"    40,000/         0",84.955,25.7,2004,37.6515336759253,127.029023841395,1556.4202334630352,0.0,1548.082267926626,0.0
한양1, 쌍문동 388-33,5층,2020 12 12,"    27,300/         0",66.33,20.1,1986,37.645866606431,127.030684821005,1358.2089552238806,0.0,1070.9888599939,0.7938774728985994
경남, 쌍문동 73,4층,2020 11 27,"     3,000/        50",46.3,14.0,1988,37.654823080626294,127.03516833450001,214.28571428571428,3.5714285714285716,798.473429951691,1.2560846560846561
동익미라벨, 쌍문동 285-5,6층,2020 11 16,"    12,000/        60",84.53,25.6,1987,37.6512509225306,127.024830780453,468.75,2.34375,842.41303333945,0.6969395239156269
삼익세라믹, 쌍문동 56,1층,2020 12 15,"    19,950/         0",58.77,17.8,1988,37.6572175480007,127.035360369573,1120.7865168539324,0.0,846.6968504746794,1.1413768246841085
금호1, 쌍문동 199-1,4층,2020 12 12,"    15,000/         0",84.88,25.7,1990,37.6590940693541,127.033496256717,583.6575875486382,0.0,989.8273328518607,0.7638852440416203
극동, 쌍문동 721,10층,2020 12 5,"    29,400/         0",84.53,25.6,1996,37.651296608543795,127.027204957619,1148.4375,0.0,1113.9513685313416,0.21076523994811933
한양5, 쌍문동 59-3,1층,2020 12 22,"    29,600/         0",65.37,19.8,1991,37.6560492416896,127.032110796213,1494.949494949495,0.0,1141.3015539713908,0.16662892512077293
한양7, 쌍문동 158,1층,2020 10 13,"    27,000/         0",84.92,25.7,1993,37.6560289774292,127.033810764899,1050.5836575875487,0.0,984.5582247015174,0.4234378576333257
한양6, 쌍문동 59-5,14층,2020 11 27,"    25,000/        50",83.86,25.4,2002,37.655884715522795,127.028992677773,984.2519685039371,1.968503937007874,1092.913385826772,0.4862204724409449
대웅, 쌍문동 13-2,2층,2020 12 10,"    14,000/         0",55.5,16.8,1989,37.6599147698071,127.035694729597,833.3333333333333,0.0,584.3801851950972,0.9594640403932274
현대1, 쌍문동 54,5층,2020 12 5,"    29,400/         0",84.66,25.6,1990,37.658600537298206,127.03110216417,1148.4375,0.0,984.8883095306928,0.49458018154062755
청구, 쌍문동 195,10층,2020 11 7,"    27,000/         0",84.63,25.6,1996,37.6596170661456,127.03452680227,1054.6875,0.0,939.2578125,0.76171875
쌍문리버뷰, 쌍문동 103-69,4층,2020 12 1,"    11,210/        16",46.84,14.2,2019,37.64359711049521,127.03108396953199,789.4366197183099,1.1267605633802817,668.364639274496,2.1619148343297194
금호2, 쌍문동 산69-1,7층,2020 12 7,"    27,000/        35",84.46,25.5,1991,37.6572872175316,127.02897286574101,1058.8235294117646,1.3725490196078431,1036.567955355831,0.6084316823095747
성원하이츠(B동), 쌍문동 574-1,6층,2020 7 4,"     3,000/        70",79.96,24.2,2004,37.6577056184662,127.039025432154,123.96694214876034,2.8925619834710745,658.6062646668707,0.9641873278236915
백조, 쌍문동 724,2층,2020 11 25,"    13,000/         0",68.69,20.8,1981,37.6460289096935,127.0263536263,625.0,0.0,546.9364937388193,0.8565891472868217
브라운스톤쌍문, 쌍문동 729,8층,2020 10 16,"    35,000/         5",84.9715,25.7,2006,37.6473541640037,127.029151705596,1361.8677042801557,0.19455252918287938,1166.7781176583837,1.1623222340828483
도봉 금강아미움 파크타운, 쌍문동 711,10층,2020 12 29,"    27,500/         0",64.4072,19.5,2018,37.661403173942794,127.038143237281,1410.2564102564102,0.0,1402.3888646658738,0.0
원산, 쌍문동 138-33,2층,2020 1 31,"     3,000/        70",66.23,20.0,2002,37.6508098812836,127.031945034239,150.0,3.5,150.0,3.5
북한산월드메르디앙, 쌍문동 728,9층,2020 11 6,"    40,000/         0",70.71,21.4,2005,37.6537936902226,127.013626094895,1869.158878504673,0.0,1296.1165963219778,0.5841121495327103
신동아아파트1, 방학동 271-1,7층,2020 12 29,"    22,900/         0",70.62,21.4,1986,37.660915659862795,127.02672758320601,1070.0934579439254,0.0,876.1644290075675,0.717932931447636
신동아아파트2, 방학동 531,8층,2020 12 7,"    42,000/         0",147.48,44.6,1992,37.6591590988585,127.023438946051,941.7040358744395,0.0,961.1501092682316,0.31463869177847414
벽산아파트2, 방학동 496,10층,2020 12 24,"    28,000/         0",59.581,18.0,1998,37.6589188431204,127.02513988983699,1555.5555555555557,0.0,1149.4529972367905,0.3407018928927235
방학동삼성래미안1, 방학동 720-18,13층,2020 12 9,"    64,000/         0",118.381,35.8,2002,37.666994587225204,127.047271433935,1787.709497206704,0.0,1379.1572505430524,0.5134472616804332
퍼스티안, 방학동 705-17,6층,2020 10 30,       500/        47,13.6794,4.1,2013,37.6674725027384,127.04389407003299,121.95121951219514,11.463414634146343,667.9174484052534,7.636022514071295
삼익세라믹아파트, 방학동 274,10층,2020 12 24,"    25,300/         0",74.105,22.4,1988,37.6611600639478,127.034041257396,1129.4642857142858,0.0,830.8137180727307,0.8348980155634017
효성하이타운아파트, 방학동 739,4층,2020 1 4,"    29,000/         0",84.87,25.7,2002,37.661131437861,127.03305997487301,1128.4046692607005,0.0,1128.4046692607005,0.0
금광포란재아파트, 방학동 714-1,2층,2020 11 23,"    32,000/         0",59.611,18.0,2005,37.6647006768144,127.04511052183202,1777.7777777777778,0.0,1317.8819444444446,0.888888888888889
청구아파트, 방학동 734,11층,2020 11 20,"    12,000/        27",84.97,25.7,1994,37.6580093043082,127.026224421531,466.9260700389105,1.0505836575875487,1009.4559864872829,0.5380383738092044
방학E.S.A1아파트, 방학동 718-7,9층,2020 11 23,"    48,000/         0",124.66,37.7,2003,37.6686500573281,127.045525134018,1273.2095490716179,0.0,1207.6543219184236,0.439453125
대상타운현대아파트, 방학동 720-1,11층,2020 11 17,"    23,000/        60",84.78,25.6,2001,37.665117207628796,127.048154219338,898.4375,2.34375,1401.3732841301094,0.686254114741323
벽산아파트1, 방학동 275,2층,2020 12 30,"     2,700/        60",52.36,15.8,1991,37.6604657505352,127.032527809708,170.88607594936707,3.7974683544303796,864.790417789364,0.8160777447963053
우암쎈스뷰아파트, 방학동 713-12,11층,2020 6 20,"    38,000/         0",84.2,25.5,2003,37.6638972080702,127.045705344563,1490.1960784313726,0.0,853.6346842012088,1.3118129273544632
대원그린아파트, 방학동 444-31,6층,2020 12 15,"     2,000/        55",46.86,14.2,1987,37.6628778078535,127.028184640024,140.84507042253523,3.8732394366197185,743.0707703008172,0.9704399234915668
방학 지음재힐스, 방학동 717-2,8층,2020 12 23,       500/        48,14.79,4.5,2018,37.6672756192271,127.044822212722,111.11111111111111,10.666666666666666,1454.5454545454543,5.0
우성아파트2, 방학동 508,4층,2020 12 23,"    26,500/         0",84.89,25.7,1993,37.6567672507742,127.02169519573098,1031.1284046692608,0.0,1064.0236639402842,0.32160724211863734
동양크레오아파트, 방학동 740,6층,2020 12 22,"    35,000/         0",84.9696,25.7,2004,37.664416770725396,127.03022908187401,1361.8677042801557,0.0,1271.2341724530816,0.0
우성아파트1, 방학동 507,2층,2020 12 30,"     3,000/        60",51.91,15.7,1992,37.657948880507796,127.023832659876,191.0828025477707,3.821656050955414,898.5200057610818,0.7387792164075873
신동아타워아파트, 방학동 736,5층,2020 11 26,"    29,000/         0",60.0,18.2,1997,37.6622271823936,127.028853736511,1593.4065934065934,0.0,862.8663003663004,0.7326007326007327
송학휴스테이, 방학동 636,7층,2020 12 11,"    24,000/         0",51.867,15.7,2016,37.66701449795271,127.03615096603201,1528.6624203821657,0.0,973.4396629736299,1.5196608946608947
한화/성원아파트, 방학동 731,9층,2020 12 22,"    14,000/        30",59.88,18.1,1996,37.6612546511696,127.03176381749701,773.4806629834253,1.6574585635359114,883.8252681815251,0.7758453898574714
신동아아파트5, 방학동 738,4층,2020 11 16,"    30,000/         0",84.94,25.7,1998,37.6633954341834,127.02853487796699,1167.3151750972763,0.0,911.2624297449199,0.66147859922179
성진파크뷰 아파트, 방학동 741,4층,2020 12 30,"    28,000/         0",49.71,15.0,2019,37.6608801969285,127.03530988171002,1866.6666666666667,0.0,1896.7847949504564,0.3555555555555555
성원아파트, 방학동 735,8층,2020 12 7,"     3,000/        70",59.94,18.1,1996,37.6618116333825,127.035684421071,165.74585635359114,3.867403314917127,1000.6042817679559,0.7760704419889503
태영데시앙, 창동 819,18층,2020 12 22,"    50,000/         0",84.995,25.7,2003,37.642912243966705,127.03343461137699,1945.5252918287938,0.0,1335.5441575285936,0.7711354793066855
주공17단지, 창동 38,9층,2020 12 30,"    16,500/         0",36.34,11.0,1989,37.623759720915295,128.396920472305,1500.0,0.0,801.3217909307947,1.238906852406318
주공19단지(창동 리버타운), 창동 27,5층,2020 12 30,"    26,200/         0",68.86,20.8,1988,37.610901032733004,128.390038709968,1259.6153846153845,0.0,1117.1856508763879,0.5159465067986901
창동주공1단지, 창동 305,4층,2020 12 26,"    18,500/         0",49.94,15.1,1991,37.6535225112468,127.039402034058,1225.1655629139073,0.0,955.4000851850789,1.1833695610991386
삼성래미안, 창동 45,5층,2020 11 30,"    38,000/         0",84.87,25.7,1992,37.612749655394,128.392753445001,1478.5992217898834,0.0,1215.836738860989,0.6631164023063926
수산트리플, 창동 817,5층,2020 10 15,"    42,000/         0",84.89,25.7,2004,37.6404372757973,127.03416918180001,1634.2412451361868,0.0,924.1603428137383,1.320305838009043
북한산아이파크5차, 창동 825,6층,2020 12 21,"    45,150/         0",84.4516,25.5,2004,37.6579003709014,127.043585079283,1770.5882352941176,0.0,1437.987257563529,0.7158781591732738
창동2차현대, 창동 815,14층,2020 12 7,"    36,500/         0",84.50399999999998,25.6,2001,37.661128974263704,127.046154046224,1425.78125,0.0,1465.3762156600608,0.3018465909090909
동아청솔, 창동 808,2층,2020 12 30,"    40,000/         0",59.76,18.1,1997,37.6574026283949,127.04835133577801,2209.944751381215,0.0,1268.298796237863,0.5826245505552864
대우, 창동 804,7층,2020 12 21,"    12,500/        60",59.86,18.1,1995,37.6424958726561,127.03776728883899,690.6077348066298,3.3149171270718227,1350.1259993359652,0.4773643088667703
창동주공4단지, 창동 380,4층,2020 12 25,"    19,000/         0",41.3,12.5,1991,36.6347501752754,128.19235279945698,1520.0,0.0,931.0482988476299,0.8823976200347831
창동주공3단지(해등마을), 창동 347,1층,2020 12 31,"    16,000/         0",41.3,12.5,1991,37.615658218211706,128.37906016476,1280.0,0.0,980.881358523443,1.0757113633641808
창동주공18단지, 창동 30,10층,2020 12 23,"    18,000/         0",45.77,13.8,1988,37.609734981736395,128.390702482021,1304.3478260869565,0.0,835.8206644599984,0.9689654069781389
신창, 창동 810,5층,2020 12 21,"    15,000/         0",39.6,12.0,1998,37.64068010375679,127.041688479878,1250.0,0.0,873.3117599970435,1.0728976417599367
동아, 창동 26,5층,2020 12 28,"    38,200/         0",89.45,27.1,1988,37.61057443860339,128.39067738424401,1409.5940959409593,0.0,1086.1453149187405,0.6319695967444561
대우그린, 창동 814,2층,2020 12 24,"    29,400/         0",59.97,18.1,2000,37.646471632280296,127.04953087768801,1624.3093922651933,0.0,1390.7620208327473,0.46690953348734376
창동주공2단지, 창동 316,10층,2020 12 26,"    21,700/         0",49.94,15.1,1990,37.611902977947004,128.38215489707702,1437.0860927152319,0.0,885.8431409822055,1.3577047489739213
상아2차아파트, 창동 300,7층,2020 12 28,"    17,000/         0",45.54,13.8,1988,37.614596570058,128.37943988918502,1231.8840579710145,0.0,828.3999988582448,1.3306422525967652
쌍용, 창동 807,1층,2020 12 29,"    56,100/         0",59.88,18.1,1997,37.6598349148542,127.04827829841899,3099.4475138121543,0.0,1406.8156419642744,0.49096182172991965
창동신도브래뉴1차, 창동 820,17층,2020 12 16,"    26,500/        20",59.619,18.0,2003,37.656050759997896,127.044533857617,1472.2222222222222,1.1111111111111112,1479.4640815051648,0.47438018993097486
동도센트리움, 창동 827,11층,2020 10 30,"    45,000/         0",80.822,24.4,2009,37.66164577858179,127.045315022564,1844.2622950819673,0.0,1408.2422586520945,0.2739829993928355
상아1차아파트, 창동 299,7층,2020 12 29,"     3,000/       100",69.03,20.9,1987,36.6304514619794,128.193442376967,143.54066985645935,4.784688995215311,1001.1190660068027,0.820775282678111
호신빌딩, 창동 661-38,11층,2020 12 5,"     1,000/        45",16.64,5.0,2017,37.649699786641996,127.035736317071,200.0,9.0,512.2301940483759,6.652680652680653
창동한신휴플러스(621-69), 창동 621-69,14층,2020 12 31,"    42,000/         0",118.03,35.7,2002,37.6457323146656,127.035036933828,1176.470588235294,0.0,1232.558393648555,0.0
대동, 창동 811,10층,2020 12 5,"    21,500/         0",59.76,18.1,1999,37.6616780498404,127.04410250158101,1187.8453038674031,0.0,1114.6452802613176,0.32228360957642727
창동현대4차, 창동 818,15층,2020 9 18,"    40,000/         0",101.9957,30.9,2003,37.6590121166641,127.04634937461,1294.4983818770227,0.0,1456.3106796116506,0.0
미소애, 창동 715-3,5층,2020 11 24,"    25,000/         0",45.466,13.8,2005,37.6560616766688,127.040125848097,1811.5942028985505,0.0,1267.951251646904,1.1363636363636362
동아그린, 창동 805,3층,2020 12 14,"    47,000/         0",84.94,25.7,1996,37.654352144728605,127.046498560183,1828.7937743190662,0.0,1431.1619187471024,0.5016087308582525
창동현대타운, 창동 812,5층,2020 11 12,"    23,100/         0",57.93,17.5,1999,37.6471075383258,127.035241358864,1320.0,0.0,1227.498195938752,0.4444444444444444
대림e-편한세상, 창동 822,1층,2020 12 18,"    26,000/        40",84.976,25.7,2003,37.6536143792601,127.04579607152999,1011.6731517509728,1.556420233463035,1196.7412451361868,1.5491245136186773
초안산신도브래뉴, 창동 821,5층,2020 11 11,"    31,500/         0",78.2974,23.7,2005,37.633428094279296,127.042540815558,1329.113924050633,0.0,1182.914175322421,0.27626166803579416
서원, 도봉동 641,8층,2020 12 18,"     1,533/         3",24.05,7.3,1996,37.6741256542665,127.04829735751001,210.0,0.4109589041095891,820.7090153280784,1.1532092485877419
한양수자인, 도봉동 657,13층,2020 9 11,"    31,000/         0",84.99,25.7,2010,37.6745671087342,127.047690373743,1206.2256809338521,0.0,992.4321175823237,0.5228758169934641
삼환도봉, 도봉동 87,10층,2020 12 29,"    23,000/         0",73.89,22.4,1987,37.681007589162604,127.048779520143,1026.7857142857144,0.0,894.9929696287962,0.40013357705286845
한신, 도봉동 30-1,12층,2020 12 30,"    34,000/         0",84.94,25.7,1995,37.685939232038,127.047933997647,1322.9571984435797,0.0,1037.03523562473,0.39083441418071785
동아에코빌, 도봉동 654,8층,2020 12 30,"     5,000/       100",84.96700000000001,25.7,2003,37.6815246056536,127.04691521837401,194.5525291828794,3.8910505836575875,994.4211875084227,0.7419877656870232
럭키, 도봉동 595,2층,2020 12 10,"    27,300/         0",84.86,25.7,1992,37.6793222488606,127.044348424225,1062.2568093385214,0.0,987.1296019155942,0.46393295420532776
래미안도봉, 도봉동 655,6층,2020 11 30,"    32,000/         0",59.25,17.9,2005,37.6795357781565,127.04662305498199,1787.709497206704,0.0,1244.4282086976466,0.7438699540457742
