건물명,주소,입력주소,경도,위도
아키죤II,가락동 101-4,서울시  가락동 101-4,127.120829,37.490274
성해,가락동 101-5,서울시  가락동 101-5,127.120887,37.490157
한신1,가락동 102,서울시  가락동 102,127.121551,37.489441
현대빌라트1,가락동 1-10,서울시  가락동 1-10,127.124265,37.503959
로즈힐파크(A동),가락동 111-13,서울시  가락동 111-13,127.123034,37.492173
가락우성2,가락동 120-4,서울시  가락동 120-4,127.125561,37.491724
신한빌라트-신한미지엔,가락동 130-14,서울시  가락동 130-14,127.126245,37.494216
청공빌딩주상복합-현대빌리지,가락동 137-3,서울시  가락동 137-3,127.128105,37.492761
가락미륭아파트,가락동 138,서울시  가락동 138,127.128603,37.493683
가락(1차)쌍용아파트,가락동 140,서울시  가락동 140,127.128253,37.495636
가락그랑밸리,가락동 141-7,서울시  가락동 141-7,127.126546,37.494542
풍림1,가락동 142,서울시  가락동 142,127.126218,37.495549
가락한일유앤아이,가락동 142-1,서울시  가락동 142-1,127.126474,37.495902
동성아파트(101동),가락동 15,서울시  가락동 15,127.125431,37.500941
동성아파트(103동),가락동 15-11,서울시  가락동 15-11,127.125685,37.500555
현대(60동),가락동 161-1,서울시  가락동 161-1,127.129782,37.500261
현대(5차),가락동 161-2,서울시  가락동 161-2,127.130204,37.499958
e지브로,가락동 16-21,서울시  가락동 16-21,127.12462,37.500655
래미안파크팰리스,가락동 165,서울시  가락동 165,127.132058,37.49807
진넥스 베르디엠,가락동 166-10,서울시  가락동 166-10,127.133446,37.49735
대련,가락동 166-15,서울시  가락동 166-15,127.133044,37.496915
sk파크타워,가락동 166-2,서울시  가락동 166-2,127.134231,37.49796
삼성프라자,가락동 168-1,서울시  가락동 168-1,127.135129,37.496579
그린아파트,가락동 1-7,서울시  가락동 1-7,127.123691,37.503739
현진타워,가락동 171,서울시  가락동 171,127.134404,37.49761
현대7,가락동 171-5,서울시  가락동 171-5,127.133553,37.496883
금홍해오름,가락동 173-4,서울시  가락동 173-4,127.134021,37.496562
동궁리치웰1,가락동 173-6,서울시  가락동 173-6,127.134303,37.4966
삼환,가락동 176,서울시  가락동 176,127.136638,37.495166
주성드림아파트,가락동 177-7,서울시  가락동 177-7,127.137408,37.494054
우민 - 늘푸른아파트,가락동 177-8,서울시  가락동 177-8,127.137543,37.494154
극동,가락동 192,서울시  가락동 192,127.132584,37.495632
동궁리치웰(101동),가락동 196-1,서울시  가락동 196-1,127.132336,37.493639
프라임레지던스,가락동 196-3,서울시  가락동 196-3,127.13182,37.493266
금성프라자1,가락동 197-12,서울시  가락동 197-12,127.132208,37.492971
가락현대투웰브(102동),가락동 198-13,서울시  가락동 198-13,127.131777,37.49204
프라자,가락동 199,서울시  가락동 199,127.133577,37.491882
가락쌍용(2차),가락동 21-6,서울시  가락동 21-6,127.122157,37.50143
카나피아Ⅱ,가락동 34-1,서울시  가락동 34-1,127.124604,37.499132
송파동부쎈트레빌,가락동 478,서울시  가락동 478,127.109107,37.500377
헬리오시티,가락동 479,서울시  가락동 479,127.106717,37.497791
쌍용스윗닷홈(105동),가락동 51-1,서울시  가락동 51-1,127.12242,37.498296
"가락3차쌍용스윗닷홈 101동, 102동",가락동 53,서울시  가락동 53,127.123412,37.497637
가락3차쌍용스윗닷홈(103동),가락동 54,서울시  가락동 54,127.123052,37.497436
현대(6차),가락동 55,서울시  가락동 55,127.12257,37.497099
정산파크뷰,가락동 6-8,서울시  가락동 6-8,127.123567,37.502693
대림,가락동 70-19,서울시  가락동 70-19,127.118952,37.498928
송파 N suite,가락동 77-7,서울시  가락동 77-7,127.121414,37.495378
한화오벨리스크,가락동 78-1,서울시  가락동 78-1,127.121918,37.494787
롯데캐슬,가락동 79,서울시  가락동 79,127.121436,37.494414
가락스타클래스,가락동 8,서울시  가락동 8,127.126088,37.50282
성원상떼빌,가락동 80,서울시  가락동 80,127.12003,37.494782
우정에쉐르,가락동 8-1,서울시  가락동 8-1,127.125774,37.502574
보보스하우스 A,가락동 93-1,서울시  가락동 93-1,127.117744,37.498766
보보스하우스 B,가락동 93-2,서울시  가락동 93-2,127.117586,37.498684
그랜드,가락동 93-4,서울시  가락동 93-4,127.117171,37.498455
동부센트레빌,가락동 95,서울시  가락동 95,127.116376,37.497773
가락금호아파트,가락동 95-1,서울시  가락동 95-1,127.116383,37.496206
우성,가락동 96-1,서울시  가락동 96-1,127.117757,37.496657
이연파레스,가락동 97-8,서울시  가락동 97-8,127.118412,37.494833
두산위브,가락동 98,서울시  가락동 98,127.119128,37.494514
동부썬빌,가락동 99-6,서울시  가락동 99-6,127.119673,37.493347
효성,가리봉동 139,서울시  가리봉동 139,126.895255,37.478883
G밸리 페트라 힐스,가산동 139-15,서울시  가산동 139-15,126.889078,37.479113
비즈트위트바이올렛5차,가산동 140-36,서울시  가산동 140-36,126.889704,37.478092
가산지웰에스테이트,가산동 140-9,서울시  가산동 140-9,126.890502,37.478388
가산양우내안에애플,가산동 141-2,서울시  가산동 141-2,126.89115,37.478898
가산 지웰 에스테이트 2차,가산동 143-6,서울시  가산동 143-6,126.890923,37.477428
덕산,가산동 148-1,서울시  가산동 148-1,126.895988,37.476646
해찬행복드림,가산동 153-9,서울시  가산동 153-9,126.893872,37.473761
삼익,가산동 234-46,서울시  가산동 234-46,126.893082,37.472889
두산,가산동 769,서울시  가산동 769,126.892327,37.474999
주상복합두산,가산동 772,서울시  가산동 772,126.893644,37.475426
온누리,가산동 774,서울시  가산동 774,126.886884,37.473831
씨앤에스타워,가산동 777,서울시  가산동 777,126.882851,37.482722
가양우성,가양동 14-3,서울시  가양동 14-3,126.854219,37.562081
동신대아,가양동 1459,서울시  가양동 1459,126.843333,37.572183
한강타운,가양동 1460,서울시  가양동 1460,126.845079,37.571281
가양2단지(성지),가양동 1461,서울시  가양동 1461,126.847197,37.570428
강서한강월드메르디앙,가양동 1462,서울시  가양동 1462,126.844026,37.569838
중앙하이츠,가양동 1467,서울시  가양동 1467,126.849143,37.56978
대림경동아파트,가양동 1474,서울시  가양동 1474,126.853961,37.566367
강변,가양동 1475,서울시  가양동 1475,126.855541,37.565202
가양도시개발공사4단지(임대),가양동 1478,서울시  가양동 1478,126.852013,37.564961
가양도시개발공사5단지(임대),가양동 1481,서울시  가양동 1481,126.854729,37.563546
가양도시개발공사8단지(임대),가양동 1482,서울시  가양동 1482,126.856993,37.562054
가양6단지,가양동 1485,서울시  가양동 1485,126.859092,37.563191
가양주공7단지(임대),가양동 1486,서울시  가양동 1486,126.861386,37.561934
가양도시개발9-1단지,가양동 1489,서울시  가양동 1489,126.861653,37.560008
가양도시개발9-2단지,가양동 1490,서울시  가양동 1490,126.863656,37.558559
한보구암마을,가양동 1495,서울시  가양동 1495,126.848955,37.568058
일신건영휴먼빌,가양동 1496,서울시  가양동 1496,126.842128,37.568811
가양1차보람더하임,가양동 1497,서울시  가양동 1497,126.848549,37.567162
강서한강자이,가양동 1500,서울시  가양동 1500,126.849149,37.566474
마곡 보타닉,가양동 235-4,서울시  가양동 235-4,126.839548,37.572399
향교,가양동 251-5,서울시  가양동 251-5,126.840071,37.570827
강나루2현대,가양동 448,서울시  가양동 448,126.855679,37.561329
