주소,경도,위도
방배동 870-11,126.990999,37.487867
방배동 541-141,126.990746,37.47725
방배동 829-19,126.987196,37.48815
방배동 902-8,126.99608799999999,37.485351
방배동 750-9,126.98595300000001,37.498132
방배동 426-11,126.98393899999999,37.484013
방배동 870-28,126.990766,37.487584999999996
방배동 751-9,126.98551299999998,37.498074
방배동 922-15,126.994877,37.482853999999996
방배동 830-7,126.987241,37.488997
방배동 766-14,126.983929,37.494753
방배동 901-4,126.99553799999998,37.485842
방배동 765-12,126.983626,37.494625
방배동 530-130,126.98992,37.477351
방배동 778-29,126.985946,37.492788
방배동 463-8,126.984931,37.480922
방배동 980-31,126.98973600000001,37.479242
방배동 900-1,126.995768,37.48725
방배동 767-5,126.98520900000001,37.494611
방배동 762-19,126.984876,37.495825
방배동 785-4,126.98473200000001,37.492290999999994
방배동 854-31,126.991249,37.488626000000004
방배동 882-21,126.997775,37.489393
방배동 456-33,126.98347700000001,37.481432
방배동 321-9,126.993003,37.485181
방배동 879-13,126.99611499999999,37.489199
방배동 858-13,126.988603,37.486945
방배동 900-3,126.995884,37.487043
방배동 790-18,126.98654599999999,37.491892
방배동 593-2,126.993503,37.476597999999996
방배동 829-13,126.986876,37.488417
방배동 812-15,126.99068,37.491468
방배동 803-6,126.99536699999999,37.493572
방배동 927-5,126.99358000000001,37.484321
방배동 839-9,126.993027,37.490939000000004
방배동 934-19,126.993319,37.485209999999995
방배동 471-2,126.986166,37.478202
방배동 920-29,126.993776,37.482331
방배동 916-22,126.994114,37.481567999999996
방배동 768-16,126.985565,37.494218
방배동 791-22,126.987724,37.492614
방배동 914-3,126.994279,37.48193
방배동 977-15,126.992117,37.482083
방배동 902-9,126.99623400000002,37.485406
방배동 901-6,126.99534399999999,37.486021
방배동 879-20,126.99601000000001,37.489441
방배동 804-10,126.994951,37.492568
방배동 933-1,126.99213799999998,37.485633
방배동 890-26,126.99795900000001,37.48662
방배동 987-7,127.000626,37.47992
방배동 457-19,126.984315,37.481277
방배동 456-34,126.98361200000001,37.481424
방배동 426-21,126.984086,37.484023
방배동 877-26,126.995007,37.489235
방배동 877-12,126.995106,37.488596
방배동 851-13,126.99313500000001,37.489633000000005
방배동 824-8,126.985199,37.490376
방배동 807-1,126.991968,37.4932
방배동 978-7,126.992852,37.48044
방배동 929-6,126.992401,37.483671
방배동 921-13,126.99393300000001,37.483259999999994
방배동 856-19,126.989349,37.488664
방배동 830-16,126.98739099999999,37.488827
방배동 916-20,126.99394099999999,37.481837
방배동 857-1,126.988549,37.488423
방배동 474-4,126.98581599999999,37.477325
방배동 858-15,126.988009,37.488283
방배동 786-1,126.985124,37.492574
방배동 870-26,126.990541,37.487493
방배동 870-40,126.990284,37.48723
방배동 913-5,126.99496599999999,37.482107
방배동 805-11,126.99432900000001,37.492554
방배동 805-12,126.99451100000002,37.492465
방배동 815-30,126.99043600000002,37.491079
방배동 451-29,126.983655,37.479109
방배동 593-58,126.99471899999999,37.475221000000005
방배동 593-73,126.99333100000001,37.475074
방배동 593-91,126.994345,37.4762
방배동 870-14,126.99066200000001,37.487738
방배동 789-39,126.985652,37.491164000000005
방배동 855-11,126.99051100000001,37.488043
방배동 475-11,126.987399,37.478141
방배동 1-140,126.993746,37.493882
방배동 939-11,126.991495,37.486294
방배동 784-12,126.98390900000001,37.49205
방배동 434-12,126.98648,37.481728000000004
