건물명,주소,위도,경도
엠파크, 가락동 166-17,37.49712169,127.133296
송파KCC웰츠타워, 가락동 77-4,37.49572415,127.1221176
한화오벨리스크, 가락동 78-1,37.49484889,127.1218989
인화오벨리아, 가리봉동 135-68,37.47939044,126.8917087
가산하우젠, 가리봉동 137-23,37.47879508,126.8958336
삼부르네상스파크빌, 가리봉동 137-4,37.47890549,126.8948074
램킨푸르지오시티, 가산동 139-3,37.47967329,126.8883758
세림프라미스, 가산동 140-15,37.47826545,126.8901324
라온복합건물, 가산동 140-20,37.47845587,126.889983
몽삐에뜨6차, 가산동 140-23,37.47864848,126.8898877
비즈트위트 바이올렛 5차, 가산동 140-36,37.47812938,126.8898575
가산지웰에스테이트, 가산동 140-9,37.47838377,126.8904994
가산 양우 내안애 애플, 가산동 141-2,37.47889001,126.8911517
리베라움, 가산동 142-59,37.47857116,126.8924792
미라벨, 가산동 142-6,37.47848383,126.8922709
(143-49), 가산동 143-49,37.47794107,126.8906482
가산 지웰 에스테이트 2차, 가산동 143-6,37.47743909,126.8908974
G밸리 노블루체 스위트, 가산동 144-5,37.47666209,126.8909919
(147-10), 가산동 147-10,37.47810737,126.8953543
라비앙 케슬, 가산동 147-33,37.47701151,126.8947726
킹-캐슬, 가산동 147-50,37.47744546,126.8956599
아이캐슬, 가산동 147-6,37.47732787,126.896009
영풍타운, 가산동 149-38,37.47558158,126.8947218
대명 U타운, 가산동 153-7,37.47389394,126.8942583
가산 센트럴 푸르지오 시티, 가산동 233-5,37.47553641,126.890842
금강노블레스, 가산동 234-2,37.47333696,126.8935381
가산더블레스, 가산동 234-41,37.47341786,126.8939134
신현빌B동, 가산동 235-12,37.47321926,126.8917734
세교 예지안 9차, 가산동 235-15,37.47302479,126.8918488
(235-81), 가산동 235-81,37.47269338,126.8911475
신현빌A동, 가산동 235-84,37.47323104,126.8915504
"	(237-16)	", 가산동 237-16,37.47336151,126.889212
세교예지안 7차, 가산동 237-50,37.47264105,126.8901574
공간오피스텔, 가산동 237-9,37.47345432,126.8893285
예다지, 가산동 238-11,37.47243252,126.8881663
원평11차, 가산동 238-117,37.47310727,126.8871502
세움아트빌3차 A동, 가산동 238-55,37.47285321,126.8874234
"	원평빌라트(6차)	", 가산동 239-2,37.47410335,126.887321
서울 디지털 드림타운, 가산동 494-4,37.48202948,126.8761421
이지크라운, 가산동 535-156,37.48205904,126.8753703
가산유미어스오피스텔, 가산동 535-55,37.48178938,126.8756435
G밸리 하우스디 어반, 가산동 535-7,37.48395237,126.8750916
몽삐에뜨, 가산동 547-56,37.47812896,126.8773153
가산 미소지움, 가산동 550-17,37.47632716,126.8788602
한국후지필름 복합주거시설, 가산동 775,37.48501692,126.880211
가산대명벨리온, 가산동 776,37.47844428,126.8777976
(115-6), 가양동 115-6,37.56653976,126.8437637
동양 트레벨 스카이 오피스텔, 가양동 1479-8,37.56371298,126.8508774
휴먼빌, 가양동 1479-9,37.56358647,126.851202
이스타빌2차, 가양동 1480-1,37.56325715,126.8526918
미씨엘로오피스텔, 가양동 1480-4,37.56291528,126.8533323
플래티노, 가양동 187-7,37.57019533,126.8409104
마곡지웰에스테이트, 가양동 194-2,37.57108391,126.8408051
아트리버빌, 가양동 239-8,37.57163826,126.8396571
다솔씨티하임, 가양동 250-2,37.57082709,126.8403779
세종보타닉2차, 가양동 251-2,37.57087688,126.8396711
마곡보타닉투웨니퍼스트, 가양동 257-1,37.57104152,126.8383324
마곡파크뷰에이동, 가양동 275-1,37.57036862,126.8400436
가양글로벌퍼스트, 가양동 448-11,36.34831917,127.4403531
갈월동 에이트리움, 갈월동 101-49,37.5415138,126.9724512
그린빌파크, 갈월동 53-19,37.54552788,126.9739337
초원그린빌, 갈현동 325-8,37.61652536,126.9076844
씨케이 리츠빌, 갈현동 456-14,37.61825618,126.9193277
플라잉캐슬, 갈현동 468-4,37.41834865,126.9777998
강일임페리얼타워, 강일동 675-3,37.56538041,127.1741154
강일 테라우드, 강일동 676-1,37.56561812,127.1729798
