지역코드,건물명,주소,층,거래일,거래금액,면적,건축년도,평,보증금,월세
11320,	(669-3)	, 쌍문동 669-3,3층,2020 1 20,500/38,21.86,2014,6.6,500,38
11320,북한산현대렉시온오피스텔, 방학동 719-2,9층,2020 1 9,600/47,26.4,2004,8.0,600,47
11320,북한산현대렉시온오피스텔, 방학동 719-2,13층,2020 1 13,500/50,26.4,2004,8.0,500,50
11320,북한산현대렉시온오피스텔, 방학동 719-2,12층,2020 1 16,"1,000/45",26.4,2004,8.0,"1,000",45
11320,북한산현대렉시온오피스텔, 방학동 719-2,2층,2020 1 17,"2,000/45",26.4,2004,8.0,"2,000",45
11320,북한산현대렉시온오피스텔, 방학동 719-2,4층,2020 1 18,500/55,26.4,2004,8.0,500,55
11320,북한산현대렉시온오피스텔, 방학동 719-2,2층,2020 1 21,"11,000/0",32.1,2004,9.7,"11,000",0
11320,북한산현대렉시온오피스텔, 방학동 719-2,12층,2020 1 22,500/55,26.4,2004,8.0,500,55
11320,북한산현대렉시온오피스텔, 방학동 719-2,8층,2020 1 28,500/55,26.4,2004,8.0,500,55
11320,북한산현대렉시온오피스텔, 방학동 719-2,13층,2020 1 30,500/50,26.4,2004,8.0,500,50
11320,라르플레이스2단지, 창동 749-15,5층,2020 1 3,"18,000/0",29.16,2019,8.8,"18,000",0
11320,탑클래스, 창동 731-113,4층,2020 1 4,"15,000/0",41.23,2015,12.5,"15,000",0
11320,라르플레이스2단지, 창동 749-15,3층,2020 1 4,"5,000/37",29.16,2019,8.8,"5,000",37
11320,보성오피스텔, 창동 655-28,7층,2020 1 4,"3,000/35",29.86,2003,9.0,"3,000",35
11320,노블캐슬오피스텔, 창동 621-4,8층,2020 1 4,"8,000/0",26.46,2003,8.0,"8,000",0
11320,플러스 오피스텔, 창동 181-46,3층,2020 1 7,"8,500/0",41.18,2003,12.5,"8,500",0
11320,노블캐슬오피스텔, 창동 621-4,7층,2020 1 7,"8,000/0",24.68,2003,7.5,"8,000",0
11320,창동신원리베르텔, 창동 338,4층,2020 1 7,"1,000/50",32.76,2003,9.9,"1,000",50
11320,라르플레이스2단지, 창동 749-15,9층,2020 1 7,"17,000/0",29.16,2019,8.8,"17,000",0
11320,라르플레이스2단지, 창동 749-15,3층,2020 1 9,"17,000/0",29.16,2019,8.8,"17,000",0
11320,라르플레이스2단지, 창동 749-15,3층,2020 1 9,"16,400/0",29.16,2019,8.8,"16,400",0
11320,라르플레이스2단지, 창동 749-15,5층,2020 1 9,"18,000/0",29.16,2019,8.8,"18,000",0
11320,라르플레이스2단지, 창동 749-15,4층,2020 1 9,"1,000/80",29.16,2019,8.8,"1,000",80
11320,라르플레이스2단지, 창동 749-15,9층,2020 1 10,"1,000/70",29.16,2019,8.8,"1,000",70
11320,월가타워, 창동 7,5층,2020 1 10,"10,000/0",21.51,2013,6.5,"10,000",0
11320,라르플레이스2단지, 창동 749-15,6층,2020 1 11,"18,000/0",29.16,2019,8.8,"18,000",0
11320,북한산현대홈시티(647-1), 창동 647-1,4층,2020 1 12,"7,000/70",60.97,2005,18.4,"7,000",70
11320,창동신원리베르텔, 창동 338,9층,2020 1 13,500/55,36.1,2003,10.9,500,55
11320,창동 SR스타빌, 창동 135-28,4층,2020 1 13,500/50,28.5,2003,8.6,500,50
11320,북한산현대홈시티(624-1), 창동 624-1,5층,2020 1 14,"10,000/50",60.97,2005,18.4,"10,000",50
11320,라르플레이스2단지, 창동 749-15,5층,2020 1 15,"18,000/0",29.16,2019,8.8,"18,000",0
11320,라르플레이스2단지, 창동 749-15,5층,2020 1 17,"18,000/0",29.16,2019,8.8,"18,000",0
11320,라르플레이스2단지, 창동 749-15,6층,2020 1 18,"18,000/0",29.16,2019,8.8,"18,000",0
11320,북한산 파크, 창동 623-6,3층,2020 1 20,"17,000/0",28.9,2018,8.7,"17,000",0
11320,창동 투웨니퍼스트, 창동 630-5,11층,2020 1 20,"21,000/0",42.12,2017,12.7,"21,000",0
11320,타임프라자, 창동 296-1,7층,2020 1 21,"5,500/11",18.68,2004,5.7,"5,500",11
11320,북한산현대홈시티(624-1), 창동 624-1,7층,2020 1 23,"24,000/0",60.97,2005,18.4,"24,000",0
11320,라르플레이스2단지, 창동 749-15,3층,2020 1 24,"2,000/60",29.16,2019,8.8,"2,000",60
11320,태솔유니크빌, 창동 624-15,3층,2020 1 28,"7,000/60",70.12,2002,21.2,"7,000",60
11320,라르플레이스2단지, 창동 749-15,7층,2020 1 28,"1,000/75",29.16,2019,8.8,"1,000",75
11320,창동 투웨니퍼스트, 창동 630-5,2층,2020 1 28,"15,500/0",29.26,2017,8.9,"15,500",0
11320,북한산현대홈시티(624-1), 창동 624-1,2층,2020 1 29,"23,000/0",60.97,2005,18.4,"23,000",0
11320,북한산현대홈시티(647-11), 창동 647-11,15층,2020 1 30,"24,500/0",60.97,2005,18.4,"24,500",0
11320,탑클래스, 창동 731-113,3층,2020 1 30,"15,500/0",41.23,2015,12.5,"15,500",0
11470,우림필유, 신정동 319,2층,2020 1 2,"3,000/150",96.41,2004,29.2,"3,000",150
11470,목동대림아크로텔, 신정동 318-1,6층,2020 1 2,"3,000/0",56.5,2004,17.1,"3,000",0
11470,	(1192-3)	, 신정동 1192-3,4층,2020 1 3,"6,000/0",17.34,2002,5.2,"6,000",0
11470,	(1192-3)	, 신정동 1192-3,6층,2020 1 4,"6,000/0",17.34,2002,5.2,"6,000",0
11470,목동대림아크로텔, 신정동 318-1,5층,2020 1 4,"3,000/100",56.5,2004,17.1,"3,000",100
11470,목동대림아크로텔, 신정동 318-1,9층,2020 1 4,"2,000/100",56.5,2004,17.1,"2,000",100
