건물명,주소,층,거래일,거래금액,면적,평,건축년도,10평보증금평균,10평월세평균
견지동빌딩, 견지동 110-32,14층,2020 1 16,"25,000/0",52.15,15.8,2004,15822.78481012658,0.0
반도 보라 아이비 타워, 효제동 45,6층,2020 1 19,"1,000/65",26.58,8.0,2003,1250.0,81.25
광남벨라스, 길동 385-3,2층,2020 1 26,"14,000/0",46.19,14.0,2004,10000.0,0.0
오피스텔 트레벨, 천호동 451-20,9층,2020 1 8,"14,000/0",28.43,8.6,2003,16279.06976744186,0.0
더존예가, 천호동 167-134,8층,2020 1 10,"22,000/0",41.32,12.5,2015,17008.955223880595,0.0
B동, 성수동2가 255-7,2층,2020 1 9,"14,330/0",29.53,8.9,2017,16101.123595505616,0.0
성수동 아스테리아, 성수동2가 278-29,2층,2020 1 28,"33,000/0",84.76,25.6,2007,12890.625,0.0
송정동센스빌오피스텔, 송정동 81-16,3층,2020 1 22,"12,000/7",30.92,9.4,2003,12765.957446808512,7.446808510638298
오르세오피스텔, 용답동 238-2,5층,2020 1 21,"12,000/20",43.55,13.2,2011,5545.454545454545,37.57575757575758
아우룸타워(Aurum Tower), 동소문동5가 30,5층,2020 1 16,"5,000/67",21.85,6.6,2017,7575.757575757576,101.51515151515153
라비앙 케슬, 가산동 147-33,3층,2020 1 2,"11,500/0",23.78,7.2,2015,15972.222222222223,0.0
세교예지안 7차, 가산동 237-50,7층,2020 1 4,"21,000/0",39.49,11.9,2017,17647.058823529413,0.0
몽삐에뜨, 가산동 547-56,3층,2020 1 7,"17,500/0",29.01,8.8,2017,21534.09090909091,0.0
(147-10), 가산동 147-10,3층,2020 1 29,"1,000/78",24.6,7.4,2015,1351.3513513513512,105.4054054054054
빌인사이드파크1, 독산동 1006-118,2층,2020 1 5,"15,000/0",39.98,12.1,2016,12396.694214876034,0.0
해송빌딩, 독산동 332-59,6층,2020 1 8,"10,000/0",14.79,4.5,2017,22222.222222222223,0.0
SD 아크로타워, 독산동 1012-12,5층,2020 1 9,"17,500/0",33.95,10.3,2017,16990.29126213592,0.0
한영솔레이유시티, 독산동 145-2,4층,2020 1 12,"23,500/0",41.82,12.7,2018,18503.937007874018,0.0
돌체비타타워, 독산동 1031-30,4층,2020 1 13,"14,500/0",19.68,6.0,2018,24166.666666666664,0.0
영진오피스텔, 독산동 144-4,1층,2020 1 14,"6,500/0",22.94,6.9,2001,9420.289855072464,0.0
중앙하이빌, 독산동 1006-115,2층,2020 1 17,"9,000/0",52.69,15.9,2016,5660.377358490567,0.0
GREEN HILL, 독산동 950-5,4층,2020 1 19,"6,000/0",12.07,3.7,2012,16216.216216216215,0.0
팔레스타운, 독산동 1009-61,2층,2020 1 23,"27,000/0",59.73,18.1,2017,14917.127071823204,0.0
서래타운, 독산동 1023-1,2층,2020 1 23,"7,819/24",59.84,18.1,2019,4319.889502762431,13.259668508287293
와이피하우스, 독산동 296-7,6층,2020 1 29,"23,400/0",45.53,13.8,2017,16956.521739130436,0.0
	(149-50)	, 독산동 149-50,2층,2020 1 29,"2,000/30",16.17,4.9,2012,4081.632653061224,61.224489795918366
블라썸시티, 독산동 1003-19,8층,2020 1 31,"4,000/30",22.16,6.7,2017,3337.1873029220096,61.120454067689735
그린하이클라스빌, 시흥동 989-10,7층,2020 1 3,"5,000/0",72.65,22.0,2005,2272.727272727273,0.0
공덕 시티하우스, 공덕동 115-45,4층,2020 1 2,"13,000/0",26.67,8.1,2013,16049.382716049384,0.0
대아빌딩, 봉천동 1540-24,5층,2020 1 3,"7,000/0",17.13,5.2,2004,13461.538461538461,0.0
프라비다2, 봉천동 867-12,2층,2020 1 6,"12,000/25",24.01,7.3,2013,16438.356164383564,34.24657534246575
세종오피스텔, 구로동 1130-21,3층,2020 1 4,"11,600/0",31.68,9.6,2003,12083.333333333336,0.0
미켈란147, 삼성동 147-2,5층,2020 1 10,"31,000/0",35.93,10.9,2004,28440.366972477063,0.0
(249-10), 잠실동 249-10,2층,2020 1 30,"19,500/0",34.58,10.5,2016,10546.218487394959,31.512605042016805
태솔캡슬, 수유동 50-20,2층,2020 1 17,"23,000/0",61.2,18.5,2012,12432.432432432433,0.0
(1203), 면목동 1203,2층,2020 1 2,"25,000/0",64.12,19.4,2016,12886.59793814433,0.0
(101-34), 상봉동 101-34,6층,2020 1 3,"11,000/0",18.01,5.4,2018,20370.37037037037,0.0
이안채 S타워 B, 상봉동 102-52,5층,2020 1 11,"9,000/15",15.3,4.6,2019,20496.894409937886,16.304347826086957
동일씨엘로, 상봉동 102-7,4층,2020 1 14,"18,000/0",24.12,7.3,2019,24657.534246575342,0.0
이안채s타워A, 상봉동 102-46,5층,2020 1 18,"17,700/0",28.41,8.6,2019,20581.39534883721,0.0
Major Officetel, 상봉동 104-70,2층,2020 1 21,"15,000/0",18.8,5.7,2018,26315.789473684206,0.0
	(128-5)	, 상봉동 128-5,6층,2020 1 22,"21,000/0",66.63,20.2,2004,10396.039603960397,0.0
상원빌딩, 신내동 492-4,3층,2020 1 7,"2,000/35",22.76,6.9,2012,2898.550724637681,50.724637681159415
happy house, 쌍문동 669-4,3층,2020 2 12,"7,000/0",23.85,7.2,2014,9722.222222222223,0.0
	(669-3)	, 쌍문동 669-3,3층,2020 2 14,500/37,21.86,6.6,2014,757.5757575757576,56.81818181818183
세레피아텔, 연건동 317,6층,2020 2 25,"10,000/20",27.92,8.4,2003,14775.910364145657,11.904761904761905
	(317-35)	, 숭인동 317-35,6층,2020 2 10,"1,000/20",9.12,2.8,2003,3571.4285714285716,71.42857142857143
	(413-23)	, 길동 413-23,5층,2020 2 22,300/45,21.42,6.5,2003,461.53846153846155,69.23076923076923
도고하임, 길동 413-54,3층,2020 2 27,"15,500/0",24.65,7.5,2014,20444.444444444445,0.0
프라임빌딩, 천호동 50-13,3층,2020 2 1,"2,000/51",18.44,5.6,2016,3571.4285714285716,91.07142857142858
(286-24), 행당동 286-24,5층,2020 2 11,"5,000/75",27.92,8.4,2020,6547.619047619048,86.3095238095238
퍼스트에비뉴, 행당동 286-38,4층,2020 2 12,"32,000/0",42.76,12.9,2019,26039.464411557437,0.0
코아루센타시아, 동선동1가 121-6,3층,2020 2 3,"13,000/0",49.07,14.8,2010,8783.783783783783,0.0
이-파크, 보문동2가 111,3층,2020 2 21,"10,000/0",23.18,7.0,2002,14285.714285714286,0.0
모아 뉴캐슬, 장위동 50-33,2층,2020 2 29,"8,000/0",19.95,6.0,2003,13333.333333333332,0.0
스위트빌3차, 석관동 226-3,4층,2020 2 20,"25,500/0",59.11,17.9,2019,14245.810055865923,0.0
(235-81), 가산동 235-81,3층,2020 2 7,"21,500/0",35.88,10.9,2019,19724.770642201835,0.0
	원평빌라트(6차)	, 가산동 239-2,4층,2020 2 7,"12,500/0",37.37,11.3,2002,11061.946902654865,0.0
방배아크로리버, 방배동 752-36,5층,2020 2 3,"1,000/80",34.93,10.6,2004,943.3962264150944,75.47169811320755
방배디오슈페리움Ⅰ, 방배동 3001-2,16층,2020 2 6,"35,000/0",47.79,14.5,2006,24137.931034482757,0.0
	(1031-3)	, 방배동 1031-3,4층,2020 2 12,"13,000/0",28.8,8.7,1987,14942.528735632186,0.0
주건축물제1동, 우면동 759,3층,2020 2 1,"1,218/0",18.47,5.6,2015,2175.0,0.0
하임S, 봉천동 883-4,4층,2020 2 1,"3,000/55",17.54,5.3,2018,5660.377358490567,103.77358490566039
그린피아 오피스텔, 봉천동 876-1,9층,2020 2 1,"1,000/45",21.08,6.4,2002,1562.5,70.3125
태양, 봉천동 921-25,4층,2020 2 3,"3,000/56",15.9,4.8,2019,6250.0,116.66666666666669
신화골든타워, 봉천동 1564-3,5층,2020 2 3,"17,000/0",16.66,5.0,2019,34000.0,0.0
J-NEXT, 봉천동 863-5,6층,2020 2 3,"13,000/15",15.39,4.7,2018,18294.072948328267,56.13601823708207
(1599-2), 봉천동 1599-2,10층,2020 2 4,"1,000/75",20.08,6.1,2019,21341.628424782015,29.16856295846804
JK타워 오피스텔, 봉천동 868-3,8층,2020 2 6,"5,000/45",17.97,5.4,2020,10277.236300628112,78.0701754385965
거장스카이 오피스텔, 봉천동 883-5,8층,2020 2 6,"3,000/100",70.56,21.3,2003,1408.450704225352,46.94835680751174
옥주오피스텔, 봉천동 877-16,4층,2020 2 6,"2,000/50",22.23,6.7,2004,2985.0746268656717,74.6268656716418
동도아르떼빌, 구로동 106,2층,2020 2 18,"11,000/0",23.8,7.2,2003,15277.777777777777,0.0
해피하우스, 불광동 281-16,3층,2020 2 24,"18,000/0",27.21,8.2,2017,21951.219512195126,0.0
힐튼럭스빌, 불광동 222-6,2층,2020 2 26,"12,000/15",55.88,16.9,2011,7100.591715976332,8.875739644970416
플라잉캐슬, 갈현동 468-4,2층,2020 2 12,"29,000/0",65.95,19.9,2019,14572.864321608042,0.0
태경쉐르빌, 대조동 224-7,4층,2020 2 24,"4,000/45",42.17,12.8,2015,3125.0,35.15625
