건물명,주소,경도,위도
엠파크, 가락동 166-17,127.133296,37.49712169
송파KCC웰츠타워, 가락동 77-4,127.1221176,37.49572415
한화오벨리스크, 가락동 78-1,127.1218989,37.49484889
인화오벨리아, 가리봉동 135-68,126.8917087,37.47939044
가산하우젠, 가리봉동 137-23,126.8958336,37.47879508
삼부르네상스파크빌, 가리봉동 137-4,126.8948074,37.47890549
램킨푸르지오시티, 가산동 139-3,126.8883758,37.47967329
세림프라미스, 가산동 140-15,126.8901324,37.47826545
라온복합건물, 가산동 140-20,126.889983,37.47845587
몽삐에뜨6차, 가산동 140-23,126.8898877,37.47864848
비즈트위트 바이올렛 5차, 가산동 140-36,126.8898575,37.47812938
가산지웰에스테이트, 가산동 140-9,126.8904994,37.47838377
가산 양우 내안애 애플, 가산동 141-2,126.8911517,37.47889001
리베라움, 가산동 142-59,126.8924792,37.47857116
미라벨, 가산동 142-6,126.8922709,37.47848383
(143-49), 가산동 143-49,126.8906482,37.47794107
가산 지웰 에스테이트 2차, 가산동 143-6,126.8908974,37.47743909
G밸리 노블루체 스위트, 가산동 144-5,126.8909919,37.47666209
(147-10), 가산동 147-10,126.8953543,37.47810737
라비앙 케슬, 가산동 147-33,126.8947726,37.47701151
킹-캐슬, 가산동 147-50,126.8956599,37.47744546
아이캐슬, 가산동 147-6,126.896009,37.47732787
영풍타운, 가산동 149-38,126.8947218,37.47558158
대명 U타운, 가산동 153-7,126.8942583,37.47389394
가산 센트럴 푸르지오 시티, 가산동 233-5,126.890842,37.47553641
금강노블레스, 가산동 234-2,126.8935381,37.47333696
가산더블레스, 가산동 234-41,126.8939134,37.47341786
신현빌B동, 가산동 235-12,126.8917734,37.47321926
세교 예지안 9차, 가산동 235-15,126.8918488,37.47302479
(235-81), 가산동 235-81,126.8911475,37.47269338
신현빌A동, 가산동 235-84,126.8915504,37.47323104
"	(237-16)	", 가산동 237-16,126.889212,37.47336151
세교예지안 7차, 가산동 237-50,126.8901574,37.47264105
공간오피스텔, 가산동 237-9,126.8893285,37.47345432
예다지, 가산동 238-11,126.8881663,37.47243252
원평11차, 가산동 238-117,126.8871502,37.47310727
세움아트빌3차 A동, 가산동 238-55,126.8874234,37.47285321
"	원평빌라트(6차)	", 가산동 239-2,126.887321,37.47410335
서울 디지털 드림타운, 가산동 494-4,126.8761421,37.48202948
이지크라운, 가산동 535-156,126.8753703,37.48205904
가산유미어스오피스텔, 가산동 535-55,126.8756435,37.48178938
G밸리 하우스디 어반, 가산동 535-7,126.8750916,37.48395237
몽삐에뜨, 가산동 547-56,126.8773153,37.47812896
가산 미소지움, 가산동 550-17,126.8788602,37.47632716
한국후지필름 복합주거시설, 가산동 775,126.880211,37.48501692
가산대명벨리온, 가산동 776,126.8777976,37.47844428
(115-6), 가양동 115-6,126.8437637,37.56653976
동양 트레벨 스카이 오피스텔, 가양동 1479-8,126.8508774,37.56371298
휴먼빌, 가양동 1479-9,126.851202,37.56358647
이스타빌2차, 가양동 1480-1,126.8526918,37.56325715
미씨엘로오피스텔, 가양동 1480-4,126.8533323,37.56291528
플래티노, 가양동 187-7,126.8409104,37.57019533
마곡지웰에스테이트, 가양동 194-2,126.8408051,37.57108391
아트리버빌, 가양동 239-8,126.8396571,37.57163826
다솔씨티하임, 가양동 250-2,126.8403779,37.57082709
세종보타닉2차, 가양동 251-2,126.8396711,37.57087688
마곡보타닉투웨니퍼스트, 가양동 257-1,126.8383324,37.57104152
마곡파크뷰에이동, 가양동 275-1,126.8400436,37.57036862
가양글로벌퍼스트, 가양동 448-11,126.8587844,37.560407
갈월동 에이트리움, 갈월동 101-49,126.9724512,37.5415138
그린빌파크, 갈월동 53-19,126.9739337,37.54552788
초원그린빌, 갈현동 325-8,126.9076844,37.61652536
씨케이 리츠빌, 갈현동 456-14,126.9193277,37.61825618
플라잉캐슬, 갈현동 468-4,126.9161297,37.61243059
강일임페리얼타워, 강일동 675-3,127.1741154,37.56538041
강일 테라우드, 강일동 676-1,127.1729798,37.56561812
강일 포디움, 강일동 677,127.1735694,37.56533902
아르페온1, 강일동 677-2,127.1731978,37.56515843
강일큐브, 강일동 679-1,127.1743297,37.5647819
강일리슈빌에스, 강일동 679-3,127.1737404,37.56439984
국일오피스텔, 개봉동 403-15,126.8559376,37.49463059
금강빌딩, 개봉동 403-17,126.8559185,37.49441509
진오피스텔, 개봉동 403-18,126.8559001,37.49422302
우분투포레스트, 개봉동 70-16,126.8467323,37.49782291
라움, 개봉동 70-30,126.8464388,37.49810712
하우징허브럭스, 개포동 1229-10,127.0461937,37.47656396
CCRU오피스텔, 개포동 1229-6,127.0456077,37.4771291
디오빌, 개포동 1236-4,127.0460836,37.47725849
(1237-3), 개포동 1237-3,127.0458535,37.47809764
YH빌리지, 개포동 1237-8,127.0466633,37.47824428
골든빌오피스텔(1246-3), 개포동 1246-3,127.0461104,37.47874477
대청타워, 개포동 13-3,127.0796009,37.49433625
메트하임, 개포동 186-13,127.0671889,37.48905013
종로1가 대성스카이렉스, 견지동 110,126.9824418,37.57248845
견지동빌딩, 견지동 110-32,126.9826978,37.57262354
운현궁 에스케이 허브, 경운동 89-4,126.985297,37.57581896
고덕 센트럴 푸르지오, 고덕동 210-1,127.1700932,37.55767904
대림리더스오피스텔, 고척동 76-183,126.8647886,37.50006627
원메디타운, 고척동 76-38,126.864208,37.49807735
홈런오피스텔, 고척동 76-4,126.8661385,37.49977818
동양오피스텔, 고척동 76-411,126.8659489,37.49972486
블레스하임-ll, 공덕동 108-65,126.9597848,37.54865026
벨로하우스 공덕, 공덕동 111-201,126.958978,37.54791123
공덕 시티하우스, 공덕동 115-45,126.958409,37.54791493
공덕오피스타, 공덕동 12-98,126.960454,37.54944467
"	(15-3)	", 공덕동 15-3,126.9549074,37.54506596
헤이븐 오피스텔, 공덕동 17-67,126.95968,37.54913911
대성힐스오피스텔, 공덕동 26-4,126.9532754,37.54388173
백상프로포즈오피스텔, 공덕동 26-7,126.9601142,37.5496743
DK빌딩, 공덕동 27-4,126.9607131,37.54980855
솔리스타, 공덕동 30-10,126.9604997,37.55029132
YD레지던스, 공덕동 31-1,126.9612281,37.55089623
마포 신영 지웰, 공덕동 461,126.9500645,37.54387311
마포공덕파크팰리스Ⅱ, 공덕동 462,126.9530441,37.5474419
마포현대하이엘, 공덕동 463,126.9543952,37.54980564
공덕푸르지오시티, 공덕동 475,126.9543099,37.54782694
건양오피스텔, 공릉동 383-12,127.0716255,37.62535489
스테이션빌 빌딩, 공릉동 383-7,127.0724007,37.62604194
두보팰리스, 공릉동 568-7,127.073326,37.62264789
엘네스트빌 오피스텔, 공릉동 653-5,127.0788973,37.61916242
북부포커스빌, 공릉동 661-3,127.0773829,37.61875817
로우폴리스, 공릉동 670-11,127.0769159,37.61868084
