가게,주소,도로명주소,경도,위도
쥬코인동전노래연습장,대치동 896-3,서울 강남구 선릉로82길 23 5층,127.051917,37.50301477
악쓰는하마 코인노래연습장,서교동 363-17,서울 마포구 어울마당로 68 지하1층,126.9214902,37.5510992
가왕코인노래연습장,창동 655-20,서울 도봉구 도봉로 468 흥일빌딩 지하 1층,127.0343526,37.6473758
드림코인노래방,관철동 19-1,서울 종로구 종로12길 14 3층,126.9855862,37.56945025
케팝코노,신사동 663,서울 강남구 언주로172길 54 3층,127.0380242,37.5268426
케이팝코인노래연습장,명동2가 55-5,서울 중구 명동4길 2 3층,126.9980996,37.56301234
슈퍼스타코인노래방 강남역점,역삼동 817-9,서울 강남구 테헤란로1길 28 4층,127.0276087,37.5001537
어썸코인노래연습장,서교동 358-30,서울 마포구 와우산로21길 4,126.9237293,37.55268235
노래야노래야 코인노래연습장 역삼점,역삼동 827-70,서울 강남구 테헤란로6길 47 3층,127.0318399,37.49558469
코인쏭동전노래연습장,봉천동 926-36,서울 관악구 남부순환로 1729,126.9422351,37.48258285
뮤직이너스,을지로6가 18-37,서울 중구 을지로43길 38 지하1층,127.0077554,37.56770301
브레이크타임,서초동 1665-1,서울 서초구 서초중앙로20길 34-5 지하1층,127.0161016,37.49226776
KPOPSTAR코인노래연습장,갈월동 87-14,서울 용산구 한강대로 287-1 2층,126.9718105,37.54401115
온코인노래연습장,남현동 1061-27,서울 관악구 과천대로 951,126.9812702,37.47553434
세븐틴코인노래연습장,대치동 896-9,서울 강남구 선릉로86길 28,127.0520474,37.50358747
노래야노래야코인노래방 이태원점,이태원동 118-72,"서울 용산구 이태원로27가길 58 3,4층",126.9921047,37.53496372
빅코인노래연습장,서교동 366-24,서울 마포구 잔다리로2길 19 3층,126.9209869,37.55173158
더보이스동전노래연습장,영등포동4가 63,서울 영등포구 문래로 205 지하 1층,126.9051363,37.5182924
K팝스타코인노래연습장 망원점,망원동 394-86,서울 마포구 포은로 67 2층,126.9060237,37.55328956
뉴코인노래연습장,서초동 1329-6,서울 서초구 강남대로 345 삼양빌딩 지하 1층,127.0289392,37.49369346
더히트코인노래방,문정동 71-1,서울 송파구 새말로8길 4 2층,127.1263227,37.48243823
세븐틴코인노래연습장 마포점,도화동 250-15,서울 마포구 도화길 10,126.9474081,37.53980713
i코인노래연습장,동교동 166-11,서울 마포구 양화로18길 9,126.9247073,37.55679617
빈티지코인노래연습장 송파석촌역점,송파동 13-4,서울 송파구 백제고분로41길 19-1 지하1층,127.1072458,37.50775599
스타코인노래연습장 강남직영점,역삼동 810-8,서울 강남구 강남대로106길 7 지하1층,127.0262221,37.502979
싱어삘3코인노래연습장,영등포동3가 10-15,서울 영등포구 영중로2길 1 지하 1층,126.9068586,37.51688516
세븐스타코인노래연습장 장안동점,장안동 337-10,서울 동대문구 답십리로72길 28 2층,127.0738174,37.57098137
세븐스타코인노래연습장 송파구청점,방이동 36-8,서울 송파구 올림픽로32길 13 3층,127.1092957,37.51493167
브이코인노래연습장 성수점,성수동2가 300-65,서울 성동구 아차산로 91 현진빌딩 3층,127.054485,37.54530985
스마일코인노래연습장,충정로2가 18,서울 서대문구 충정로11길 8 3층,126.9658427,37.56572598
히든코인싱어 홍대점,서교동 331-15,서울 마포구 어울마당로 138 지하1층,126.9254859,37.55605206
코인피그노래연습장,가락동 125-2,서울 송파구 동남로 147 수동빌딩 지하1층,127.126899,37.49211812
잇츠코인노래연습장,송파동 147-2,서울 송파구 오금로 210,127.1168088,37.50742216
리코스타코인노래연습장 이대점,대현동 27-33,서울 서대문구 신촌역로 22-8 지하 2층,126.9433538,37.55884583
와드코인노래연습장,논현동 182-25,서울 강남구 강남대로118길 19,127.024947,37.50688861
옥스코인노래연습장 독산본점,독산동 286-8,서울 금천구 시흥대로 406,126.8984704,37.46966836
도깨비코인노래방,하왕십리동 966-23,서울 성동구 무학봉28길 6 1층,127.032678,37.56213961
탄탄코인노래연습장,문정동 308-2,서울 송파구 법원로4길 10 힐스테이트에코문정 지하1층 B106호,127.1226879,37.48262096
민트박스 코인노래연습장,여의도동 44-35,서울 영등포구 여의대방로 379 제일빌딩 3층 304호,126.930936,37.51913112
슈퍼스타코인노래방 강남역2호점,서초동 1308-10,서울 서초구 서초대로77길 37 4층,127.0251041,37.50099436
별빛코인노래연습장,상봉동 74-5,서울 중랑구 망우로 381 2층,127.0946235,37.59889434
힐링코인노래연습장,석촌동 278-8,서울 송파구 백제고분로40길 32 남승빌딩 2층,127.1076682,37.50191768
뮤직스타 코인노래연습장,구로동 145-15,서울 구로구 도림로 83 2층,126.8924261,37.49029425
엔젤스코인노래방마포공덕점,공덕동 105-159,서울 마포구 마포대로 180,126.9555248,37.55018779
본코인노래연습장,양재동 279-13,서울 서초구 논현로17길 19 지하 1층,127.0448289,37.47584849
