가게,주소,도로명주소,경도,위도
크린토피아 코인워시 구로5동점,구로동 106-10,"서울 구로구 가마산로27길 24 순영웰라이빌1차 1층 113,114호",126.8915732,37.49816239
크린토피아 코인워시 신당약수점,신당동 373-8,서울 중구 동호로8길 5,127.0118365,37.55404468
크린토피아 코인워시 역삼언주로점,역삼동 774-35,서울 강남구 언주로71길 17 금강빌딩 101호,127.0436419,37.49706438
크린토피아 코인워시 동작우체국점,신대방동 364-75,서울 동작구 여의대방로22바길 2,126.9229208,37.49756438
크린토피아 코인워시 서초서울고점,서초동 1510-15,서울 서초구 반포대로21길 27 화원그랑빌아파트 1층 102호,127.0084173,37.48735124
크린토피아 코인워시 신당6동점,신당동 846,서울 중구 다산로42나길 46,127.0172705,37.5623442
크린토피아 코인워시 공릉2동점,공릉동 408-125,서울 노원구 공릉로43길 18 공릉엘림교회 상가 1층,127.0785496,37.62618843
크린토피아 코인워시 강남언주역점,논현동 193-41,서울 강남구 봉은사로25길 13,127.0322315,37.50794621
크린토피아 코인워시 남가좌현대점,남가좌동 190-60,서울 서대문구 가재울로 69,126.9208253,37.57601244
크린토피아 코인워시 쌍문2동점,쌍문동 569,서울 도봉구 방학로3길 123,127.0384972,37.65779616
크린토피아 코인워시 만리한겨레점,공덕동 11-180,서울 마포구 효창목길 23 101호,126.9607393,37.54793635
크린토피아 코인워시 잠원본점,잠원동 35-33,서울 서초구 신반포로45길 32 1층,127.0184956,37.51193871
크린토피아 코인워시 송파방이2동점,방이동 106-2,서울 송파구 오금로17길 20,127.1123325,37.5123886
크린토피아 코인워시 영등포청원점,영등포동6가 131-2,서울 영등포구 영신로44길 8,126.9024072,37.52215528
크린토피아 코인워시 당산동4가점,당산동4가 32-35,서울 영등포구 당산로38길 5 해승빌딩 1층,126.8990152,37.52911298
크린토피아 코인워시 양재2동점,양재동 368-11,서울 서초구 동산로6길 41-3 1층,127.0447895,37.46954432
크린토피아 코인워시 장안시장점,장안동 183-16,서울 동대문구 답십리로64길 103 102호,127.0651991,37.5684943
크린토피아 코인워시 왕십리역점,행당동 1-95,서울 성동구 마조로9길 6-6,127.0410407,37.56143091
크린토피아 코인워시 이문2동점,이문동 264-277,서울 동대문구 천장산로7길 40,127.0555843,37.59835415
크린토피아 코인워시 마포아현초교점,아현동 326-24,서울 마포구 신촌로34길 29 1층,126.9548075,37.55594025
크린토피아 코인워시 답십리점,답십리동 1003,서울 동대문구 답십리로 130 래미안위브 아파트 102동,127.0518555,37.57253361
크린토피아 코인워시 방배1동점,방배동 937-8,서울 서초구 서초대로22길 17,126.9928622,37.48652873
크린토피아 코인워시 선릉역점,역삼동 697-8,서울 강남구 테헤란로53길 23,127.046257,37.50569323
크린토피아 코인워시 관악대학동점,신림동 1536-11,서울 관악구 신림로17길 42 1층,126.9362004,37.46884516
크린토피아 코인워시 역삼역점,역삼동 747,서울 강남구 역삼로19길 14 노블스위트 104호,127.0373049,37.4960949
크린토피아 코인워시 마포염리자이점,염리동 173-3,서울 마포구 독막로42길 7 102호,126.9461747,37.54335668
크린토피아 코인워시 가산동주민센터점,가산동 143-20,서울 금천구 디지털로12길 37 피어니빌 101호,126.8903027,37.47724336
크린토피아 코인워시365 용문시장점,용문동 1-90,서울 용산구 원효로53길 41 1층,126.9619039,37.53758256
크린토피아 코인워시 서울교대점,서초동 1668-11,서울 서초구 서초대로60길 34 문화빌딩 1층,127.0186819,37.49350965
크린토피아 코인워시365 역삼1동점,역삼동 690-3,서울 강남구 봉은사로44길 43 오빌벤처센터 1층,127.0415583,37.50665267
크린토피아 코인워시 상암DMC점,상암동 41-16,서울 마포구 월드컵북로 350 상가 103호,126.8933081,37.57684328
크린토피아 코인워시 왕십리홍익점,홍익동 122-4,서울 성동구 왕십리로20길 41 1층 크린토피아,127.0356072,37.56548697
크린토피아 코인워시 면목중앙점,면목동 428-42,서울 중랑구 면목로56길 28,127.0898768,37.58391811
크린토피아 코인워시365 이태원보광점,보광동 274-17,서울 용산구 우사단로2길 1,126.9968823,37.53079462
크린토피아 코인워시 잠실잠전초교점,잠실동 238-18,서울 송파구 삼전로9길 21 화진빌딩 1층,127.0870707,37.50659266
크린토피아 코인워시 반포미도점,반포동 49-11,서울 서초구 서초중앙로31길 14-13 1층,127.0104312,37.5006951
크린토피아 코인워시 태릉입구역점,공릉동 584-23,서울 노원구 동일로178길 29-3,127.0761412,37.62152608
크린토피아 코인워시 영등포아크로타워점,영등포동7가 204,서울 영등포구 국회대로54길 10 상가 12동 1층 101호,126.9061607,37.52372011
크린토피아 코인워시 마포서교점,서교동 469-28,서울 마포구 월드컵로14길 61 천일빌딩 1층,126.9137346,37.55692252
크린토피아 코인워시365 광진아크로텔점,자양동 779-5,서울 광진구 아차산로 355 광진아크로텔 108호,127.0826244,37.53734003
크린토피아 코인워시365 서울과기대점,하계동 162,서울 노원구 공릉로58길 79 1층,127.0728668,37.63565957
크린토피아 코인워시 영등포8가점,영등포동8가 42-1,서울 영등포구 영신로 228-6 한양아이클래스오피스텔 105호,126.904099,37.52737307
크린토피아 코인워시 중랑상봉2동점,상봉동 125-19,서울 중랑구 동일로110길 13,127.0811046,37.59216869
크린토피아 코인워시 강동고덕그라시움점,고덕동 187-3,서울 강동구 고덕로83길 52 101호,127.1687392,37.55932736
크린토피아 코인워시 광진자양시장점,자양동 634,서울 광진구 자양로13길 73-1 안모빌딩 1층,127.0808998,37.53328689
크린토피아 코인워시 서경대점,정릉동 266-108,서울 성북구 보국문로16길 34,127.0095357,37.61145652
크린토피아 코인워시 반포언구비점,반포동 732-29,서울 서초구 강남대로83길 64-2 102호,127.0206445,37.50483054
크린토피아 코인워시365 수유3동점,수유동 23-43,서울 강북구 노해로11길 31,127.0208815,37.63883478
크린토피아 코인워시 송파가락동점,가락동 19-9,서울 송파구 오금로36길 28-1 1층,127.123904,37.50131014
크린토피아 코인워시 방학1동점,방학동 703,서울 도봉구 방학로2길 82 1층,127.0410472,37.66656586
크린토피아 코인워시 신림성모성당점,신림동 1418-20,서울 관악구 신림로68길 43 1층,126.9317109,37.48650439
크린토피아 코인워시 미아역점,미아동 217-15,서울 강북구 도봉로65길 13,127.0239077,37.62970093
