가게,주소,도로명주소,경도,위도,입지요건
이마트 영등포점,영등포동4가 442,"서울 영등포구 영중로 15 타임스퀘어 지하1,2층",126.90364199999999,37.51721812,대형마트
이마트 가양점,가양동 449-19,서울 강서구 양천로 559,126.86178429999998,37.55822194,대형마트
이마트 성수점,성수동2가 333-133,서울 성동구 뚝섬로 379,127.05353649999999,37.53996409,대형마트
이마트 은평점,응암동 90-1,서울 은평구 은평로 111,126.92022250000001,37.60038151,대형마트
이마트 용산점,한강로3가 40-999,서울 용산구 한강대로23길 55,126.96486100000001,37.52982602,대형마트
이마트 이수점,사당동 147-29,서울 동작구 사당로 300 이수자이 지하1층,126.98028240000001,37.48438038,대형마트
이마트 청계천점,황학동 2545,서울 중구 청계천로 400 롯데캐슬 베네치아,127.0198397,37.57075321,대형마트
이마트 구로점,구로동 188-26,서울 구로구 디지털로32길 43,126.8979085,37.48440124,대형마트
이마트 가든파이브점,문정동 628,서울 송파구 충민로 10,127.11869399999999,37.47872103,대형마트
이마트 양재점,양재동 215,서울 서초구 매헌로 16,127.03694469999999,37.46247061,대형마트
이마트 명일점,명일동 46-4,서울 강동구 고덕로 276,127.1556324,37.55470913,대형마트
이마트 미아점,길음동 25-2,서울 성북구 도봉로 17,127.029857,37.61085222,대형마트
이마트 왕십리점,행당동 168-151,서울 성동구 왕십리광장로 17,127.03838359999999,37.56126547,대형마트
이마트 목동점,목동 962,서울 양천구 오목로 299 삼성 트라펠리스 지하,126.87031409999999,37.52556287,대형마트
이마트 하월곡점,하월곡동 230,서울 성북구 종암로 167 동일하이빌뉴시티,127.0309217,37.60513251,대형마트
이마트 자양점,자양동 227-7,서울 광진구 아차산로 272 더샵스타시티 지하1층,127.0730372,37.53854294,대형마트
이마트 마포점,신공덕동 173,서울 마포구 백범로 212,126.9533868,37.54242181,대형마트
이마트 역삼점,역삼동 755,서울 강남구 역삼로 310 한솔필리아 지층,127.0484436,37.4992011,대형마트
이마트 창동점,창동 135-26,서울 도봉구 노해로65길 4,127.0474655,37.65198283,대형마트
이마트 신월점,신월동 26,서울 양천구 화곡로 59,126.82850959999999,37.53975993,대형마트
이마트 신도림점,구로동 3-25,서울 구로구 새말로 97 신도림테크노마트 지하2층,126.89015069999999,37.50706722,대형마트
이마트 수색점,수색동 75,서울 은평구 수색로 217,126.89876409999998,37.57964277,대형마트
이마트 상봉점,망우동 506-1,서울 중랑구 상봉로 118,127.0936345,37.59647742,대형마트
이마트트레이더스 월계점,월계동 333-1,서울 노원구 마들로3길 17 1층,127.0613338,37.62796177,대형마트
이마트 여의도점,여의도동 47,서울 영등포구 여의동로3길 10 GS자이아파트 지하1층,126.9252662,37.51811501,대형마트
이마트 천호점,천호동 454-1,서울 강동구 천호대로 1017,127.12561629999999,37.53863905,대형마트
이마트 월계점,월계동 333-1,서울 노원구 마들로3길 15,127.06198119999999,37.62648325,대형마트
이마트 신촌점,노고산동 57-2,서울 마포구 신촌로 94,126.936002,37.55499486,대형마트
이마트 묵동점,묵동 170-1,서울 중랑구 동일로 932,127.0775146,37.61381914,대형마트
롯데마트 서초점,서초동 1498-5,서울 서초구 서초대로38길 12,127.00537609999999,37.49049857,대형마트
홈플러스 월드컵점,성산동 529-16,서울 마포구 월드컵로 240,126.89725490000001,37.568419899999995,대형마트
이마트 이문점,이문동 292-10,서울 동대문구 이문로 136,127.06188859999999,37.59849737,대형마트
롯데마트 양평점,양평동3가 45,서울 영등포구 선유로 138,126.89155079999999,37.526060799999996,대형마트
코스트코 양재점,양재동 217-6,서울 서초구 양재대로 159,127.0361535,37.46197505,대형마트
코스트코 양평점,양평동3가 65,서울 영등포구 선유로 156,126.8922197,37.5276864,대형마트
홈플러스 강서점,등촌동 639-11,서울 강서구 화곡로 398,126.85481580000001,37.55847445,대형마트
이마트 수서점,수서동 724,서울 강남구 광평로 280 로즈데일 오피스텔 지하1층,127.1030769,37.48731395,대형마트
코스트코 상봉점,상봉동 81,서울 중랑구 망우로 336,127.09032340000002,37.59681593,대형마트
홈플러스 합정점,서교동 490,서울 마포구 양화로 45 메세나폴리스 지하2층,126.9142006,37.55076126,대형마트
롯데마트 중계점,중계동 361,서울 노원구 노원로 330,127.0709557,37.64678645,대형마트
홈플러스 금천점,독산동 291-7,서울 금천구 시흥대로 391,126.89688429999998,37.46866426,대형마트
홈플러스 중계점,중계동 509-2,서울 노원구 동일로204가길 12,127.0686675,37.63986017,대형마트
홈플러스 방학점,방학동 707-7,서울 도봉구 도봉로 678,127.0435415,37.66484676,대형마트
홈플러스 영등포점,문래동3가 55-3,서울 영등포구 당산로 42,126.8959352,37.51823152,대형마트
홈플러스 강동점,천호동 42,서울 강동구 양재대로 1571,127.14224899999999,37.54568914,대형마트
홈플러스스페셜 목동점,목동 919-7,서울 양천구 목동서로 170,126.87330390000001,37.53024888,대형마트
홈플러스스페셜 동대문점,용두동 33-1,서울 동대문구 천호대로 133,127.0387685,37.57455192,대형마트
롯데마트 서울역점,봉래동2가 122-23,서울 중구 한강대로 405,126.97038119999999,37.55590907,대형마트
홈플러스 서울남현점,남현동 612-51,서울 관악구 과천대로 909,126.9824763,37.4714634,대형마트
홈플러스 스페셜 시흥점,시흥동 992-47,서울 금천구 시흥대로 201,126.9008288,37.45188124,대형마트
홈플러스 월곡점,하월곡동 46-73,서울 성북구 화랑로 76,127.040567,37.60175341,대형마트
홈플러스 잠실점,신천동 7-12,서울 송파구 올림픽로35가길 16,127.10301729999999,37.51625457,대형마트
홈플러스 서울상봉점,,서울 중랑구 상봉동 500,127.09054750000001,37.59807241,대형마트
롯데마트 금천점,독산동 산 221-3,서울 금천구 시흥대로 291,126.8965322,37.45997216,대형마트
홈플러스 스페셜 가양점,가양동 18-24,서울 강서구 양천로 431,126.849984,37.56426746,대형마트
롯데마트 잠실점,잠실동 40-1,서울 송파구 올림픽로 240,127.0982712,37.51136202,대형마트
홈플러스 신도림점,신도림동 337,서울 구로구 경인로 661 대우미래 사랑시티 지하1층,126.88698899999999,37.50904782,대형마트
롯데마트 삼양점,미아동 1359,서울 강북구 삼양로 247,127.0177243,37.62551125,대형마트
롯데마트 청량리점,전농동 588-1,서울 동대문구 왕산로 214,127.05036340000001,37.57974595,대형마트
롯데마트 은평점,진관동 80-25,서울 은평구 통일로 1050,126.917855,37.63750255,대형마트
롯데마트 송파점,문정동 150-2,서울 송파구 중대로 80,127.11783249999999,37.49173983,대형마트
홈플러스 면목점,면목동 168-2,서울 중랑구 사가정로 332,127.08203059999998,37.58053634,대형마트
롯데마트 월드타워점,신천동 29,서울 송파구 올림픽로 300,127.101712,37.51284482,대형마트
롯데마트 김포공항점,,서울 강서구 방화동 886,126.80296129999999,37.56681753,대형마트
롯데마트 강변점,구의동 546-4,서울 광진구 광나루로56길 85,127.09574199999999,37.53563986,대형마트
홈플러스 신내점,신내동 645,서울 중랑구 신내로 201,127.0937279,37.61581629999999,대형마트
롯데마트 행당역점,행당동 346,"서울 성동구 행당로 84 한진타운상가 지하 2,3층",127.0287237,37.55656757,대형마트
킴스클럽 강남점,잠원동 70-2,서울 서초구 잠원로 51,127.00743940000001,37.50924072,대형마트
킴스클럽 강서점,등촌동 689,서울 강서구 강서로56길 17,126.8405111,37.55995036,대형마트
킴스클럽 목동점,목동 917-6,서울 양천구 목동동로 309 행복한세상백화점 지하1층,126.8759854,37.52920737,대형마트
킴스클럽 구로점,고척동 76-41,서울 구로구 중앙로1길 36,126.8626598,37.49808473,대형마트
킴스클럽 송파점,문정동 634,서울 송파구 충민로 66,127.1251168,37.47771921,대형마트
킴스클럽 불광점,대조동 240,서울 은평구 불광로 20 NC백화점,126.928925,37.60971407,대형마트
하나로클럽 창동점,창동 1-15,서울 도봉구 마들로11길 20,127.05262040000001,37.65581365,대형마트
킴스클럽 천호2점,천호동 563,서울 강동구 구천면로 189 2001아울렛,127.12553700000001,37.54159255,대형마트
세이브존 노원점,하계동 284,서울 노원구 한글비석로 57,127.0688345,37.63660314,대형마트
킴스클럽 중계점,중계동 509,서울 노원구 동일로204가길 46 2001아울렛,127.0679044,37.6412881,대형마트
롯데빅마켓 영등포점,영등포동8가 62-1,서울 영등포구 영중로 125,126.9046634,37.52783559,대형마트
롯데빅마켓 금천점,독산동 295-10,서울 금천구 두산로 71,126.89562990000002,37.47061423,대형마트
수협바다마트 노량진점,노량진동 330,서울 동작구 만양로 84,126.9451375,37.51135905,대형마트
월드마트,상도동 535,서울 동작구 상도로30길 40,126.94243229999998,37.5043217,대형마트
더드림식자재마트,장안동 462,서울 동대문구 장한로2길 33 1층,127.0672347,37.56229875,대형마트
시티마트,남가좌동 349-1,서울 서대문구 증가로 141,126.9219143,37.57737963,대형마트
메가마트 본사,시흥동 984-33,서울 금천구 시흥대로27길 32 B동,126.9015369,37.44083834,대형마트
하모니마트 마천점,마천동 601,서울 송파구 성내천로47길 31,127.15766709999998,37.49562615,대형마트
한국유통,방화동 573-5,서울 강서구 양천로18길 5,126.8130247,37.573158299999996,대형마트
수인식자재마트 강서점,외발산동 427,서울 강서구 발산로 40,126.82121229999998,37.55531429,대형마트
현대그린마트,신정동 1279,서울 양천구 목동동로12길 60 상가동 1층 101~106호,126.8774774,37.52208827,대형마트
용호식자재마트,쌍문동 711,서울 도봉구 방학로5길 33 1층 1호,127.03813229999999,37.66141943,대형마트
한두레마트 대치점,대치동 316,서울 강남구 삼성로 212,127.0640314,37.49597231,대형마트
곰식자재마트,창동 581-81,서울 도봉구 덕릉로59가길 9,127.03860039999999,37.64004179,대형마트
