지역코드,아파트,주소,층,거래일,거래금액,면적,건축년도
11680,래미안그레이튼, 역삼동 763-16,8층,2020 12 1,"   198,000",59.97,2009
11680,우정에쉐르3, 역삼동 707-15,4층,2020 12 1,"    78,000",63.67,2004
11680,e-편한세상, 역삼동 755-4,11층,2020 12 2,"   250,000",84.991,2005
11680,역삼 I'PARK, 역삼동 713-11,14층,2020 12 2,"    81,000",28.246,2006
11680,네스빌(728-10), 역삼동 728-10,2층,2020 12 3,"   182,000",244.52,1996
11680,역삼동월드메르디앙, 역삼동 795-41,5층,2020 12 3,"   148,750",83.27,2005
11680,개나리래미안, 역삼동 754,17층,2020 12 3,"   252,000",84.93,2006
11680,역삼자이, 역삼동 711-3,17층,2020 12 5,"   254,000",84.993,2016
11680,한양럭스, 역삼동 628-1,4층,2020 12 5,"    37,000",44.0,2003
11680,조이너스, 역삼동 747-1,2층,2020 12 5,"    90,000",84.28,2006
11680,e-편한세상, 역삼동 755-4,19층,2020 12 5,"   195,000",59.606,2005
11680,역삼 I'PARK, 역삼동 713-11,18층,2020 12 5,"    78,500",28.246,2006
11680,대우디오빌, 역삼동 720-25,15층,2020 12 7,"    34,000",30.03,2002
11680,대우디오빌, 역삼동 720-25,10층,2020 12 7,"    32,000",30.03,2002
11680,강남서해더블루, 역삼동 796-29,3층,2020 12 8,"    95,000",78.57,2012
11680,한화진넥스빌, 역삼동 706-20,17층,2020 12 8,"    33,000",34.82,2001
11680,개나리래미안, 역삼동 754,7층,2020 12 9,"   260,000",84.93,2006
11680,e-편한세상, 역삼동 755-4,8층,2020 12 9,"   193,000",59.606,2005
11680,개나리 푸르지오, 역삼동 755-1,8층,2020 12 9,"   280,000",133.1686,2006
11680,역삼 I'PARK, 역삼동 713-11,8층,2020 12 11,"    85,000",28.246,2006
11680,역삼푸르지오, 역삼동 754-1,23층,2020 12 12,"   193,500",59.8848,2006
11680,역삼래미안, 역삼동 757,6층,2020 12 12,"   186,000",59.53,2005
11680,롯데캐슬노블, 역삼동 835-68,9층,2020 12 14,"   180,000",176.03,2007
11680,대우디오빌, 역삼동 720-25,9층,2020 12 14,"    34,000",30.03,2002
11680,상지리츠빌(1호라인), 역삼동 761-9,14층,2020 12 14,"   229,000",153.65,2004
11680,현대이스트빌, 역삼동 728-45,3층,2020 12 17,"   190,000",244.14,1999
11680,역삼래미안, 역삼동 757,16층,2020 12 19,"   190,000",59.73,2005
11680,래미안그레이튼, 역삼동 763-16,14층,2020 12 19,"   245,000",84.97,2009
