지역코드,단지,주소,층,거래일,거래금액,면적,건축년도
11680,BIEL 106, 역삼동 832-16,14층,2020 1 2,"29,000",21.39,2018
11680,금천빌딩, 역삼동 708-20,9층,2020 1 3,"22,300",29.72,2005
11680,대우디오빌플러스, 역삼동 824-25,10층,2020 1 6,"25,000",35.16,2004
11680,메가시티오피스텔, 역삼동 824-12,11층,2020 1 7,"22,000",34.01,2002
11680,크레신 타워Ⅱ, 역삼동 823-3,3층,2020 1 8,"17,700",28.12,2004
11680,금천빌딩, 역삼동 708-20,7층,2020 1 9,"20,800",29.72,2005
11680,삼환 아르누보, 역삼동 769-1,7층,2020 1 10,"19,600",24.48,2003
11680,대우디오빌플러스, 역삼동 824-25,8층,2020 1 10,"27,300",38.96,2004
11680,메이플라워멤버스빌오피스텔, 역삼동 736-22,5층,2020 1 11,"13,000",22.79,2006
11680,강남역 효성해링턴 타워 더퍼스트, 역삼동 825-24,5층,2020 1 11,"25,500",22.85,2014
11680,에스케이허브 오피스텔, 역삼동 708-26,9층,2020 1 11,"34,300",38.11,2004
11680,강남역 와이즈 플레이스, 역삼동 837-13,13층,2020 1 11,"21,500",23.87,2013
11680,강남역 와이즈 플레이스, 역삼동 837-13,12층,2020 1 13,"21,500",23.87,2013
11680,강남역 우정에쉐르, 역삼동 823-7,2층,2020 1 14,"12,500",17.13,2004
11680,에스케이허브 오피스텔, 역삼동 708-26,6층,2020 1 16,"23,900",28.53,2004
11680,강남뉴스텔, 역삼동 826-30,10층,2020 1 17,"22,000",28.36,1998
11680,신일유토빌, 역삼동 735-11,10층,2020 1 17,"18,000",32.99,2003
11680,목화밀라트, 역삼동 822-7,17층,2020 1 18,"30,000",31.33,2004
11680,강남역 센트럴 푸르지오 시티, 역삼동 825-20,9층,2020 1 20,"29,400",20.78,2015
11680,에스케이허브 오피스텔, 역삼동 708-26,11층,2020 1 20,"24,300",27.83,2004
11680,BIEL 106, 역삼동 832-16,2층,2020 1 22,"39,000",28.87,2018
11680,강남역 센트럴 푸르지오 시티, 역삼동 825-20,8층,2020 1 23,"32,900",24.61,2015
11680,강남역 센트럴 푸르지오 시티, 역삼동 825-20,17층,2020 1 28,"36,900",24.63,2015
11680,강남역두산위브센티움, 역삼동 823-26,9층,2020 1 29,"20,400",28.71,2004
11680,강남역두산위브센티움, 역삼동 823-26,6층,2020 1 30,"19,900",28.71,2004
11680,능현오피스텔, 역삼동 708-16,13층,2020 1 31,"21,600",29.6,2004
11680,역삼디오슈페리움, 역삼동 832-5,9층,2020 1 31,"43,000",50.87,2006
11680,대청타워, 개포동 13-3,9층,2020 1 14,"22,000",31.91,1997
11680,더 리버스 청담, 청담동 130-8,10층,2020 1 7,"116,000",45.09,2019
11680,네이처 포엠, 청담동 118-17,6층,2020 1 13,"137,800",81.0,2005
11680,네이처 포엠, 청담동 118-17,5층,2020 1 22,"57,000",43.68,2005
11680,현대썬앤빌 삼성역, 삼성동 157-14,12층,2020 1 3,"34,000",21.51,2019
11680,삼성동 롯데캐슬 클라쎄, 삼성동 141-10,18층,2020 1 4,"71,000",40.79,2019
11680,	(78-3)	, 삼성동 78-3,9층,2020 1 6,"24,000",25.65,1990
11680,선릉대림아크로텔, 삼성동 140-3,6층,2020 1 13,"33,000",35.69,2004
11680,삼성역 두산위브센티움, 삼성동 158-4,6층,2020 1 14,"25,000",27.88,2003
11680,삼성역 두산위브센티움, 삼성동 158-4,2층,2020 1 15,"23,900",27.88,2003
11680,선릉대림아크로텔, 삼성동 140-3,8층,2020 1 17,"33,000",35.69,2004
11680,청담역 푸르지오시티, 삼성동 58-2,4층,2020 1 17,"33,000",25.84,2014
11680,대종빌딩, 삼성동 143-48,15층,2020 1 20,"29,500",42.0,1991
11680,선릉대림아크로텔, 삼성동 140-3,3층,2020 1 29,"37,000",35.69,2004
11680,현대썬앤빌 삼성역, 삼성동 157-14,2층,2020 1 31,"38,998",26.24,2019
11680,청담역 푸르지오시티, 삼성동 58-2,15층,2020 1 31,"41,500",29.54,2014
11680,샹제리제센터(889-5), 대치동 889-5,14층,2020 1 2,"23,300",35.7,1990
11680,신안메트로칸, 대치동 943-24,16층,2020 1 2,"24,500",27.09,2004
11680,신안메트로칸, 대치동 943-24,20층,2020 1 6,"25,000",26.73,2004
11680,선릉역 롯데골드로즈2, 대치동 890-59,8층,2020 1 7,"24,300",34.32,2004
11680,선릉역 롯데골드로즈오피스텔, 대치동 889-53,16층,2020 1 8,"21,900",32.0,2003
11680,신안메트로칸, 대치동 943-24,23층,2020 1 9,"25,500",30.11,2004
11680,선릉역 롯데골드로즈2, 대치동 890-59,6층,2020 1 10,"25,000",34.32,2004
11680,선릉역 롯데골드로즈오피스텔, 대치동 889-53,5층,2020 1 10,"21,000",32.0,2003
11680,신안메트로칸, 대치동 943-24,12층,2020 1 10,"24,700",26.19,2004
11680,선릉역 롯데골드로즈2, 대치동 890-59,11층,2020 1 13,"25,000",34.32,2004
11680,신안메트로칸, 대치동 943-24,14층,2020 1 14,"27,500",30.11,2004
11680,선릉역대우아이빌, 대치동 890-49,4층,2020 1 15,"27,000",33.02,2004
11680,CO-OP Residence/삼성역, 대치동 945-29,7층,2020 1 16,"15,700",13.96,2004
11680,선릉역 롯데골드로즈2, 대치동 890-59,14층,2020 1 16,"24,000",34.32,2004
11680,선릉역 롯데골드로즈2, 대치동 890-59,15층,2020 1 16,"36,500",44.46,2004
11680,신안메트로칸, 대치동 943-24,5층,2020 1 17,"25,000",30.11,2004
11680,CO-OP Residence/삼성역, 대치동 945-29,2층,2020 1 18,"15,500",13.96,2004
11680,대치동대우아이빌멤버스, 대치동 891-26,3층,2020 1 20,"24,000",25.7,2003
11680,세양 APEX-TOWER, 논현동 6-21,6층,2020 1 2,"20,900",26.91,2003
11680,이안 논현, 논현동 277-36,15층,2020 1 7,"82,000",115.0,2006
11680,거평타운오피스텔, 논현동 203-1,6층,2020 1 8,"15,300",32.8,1991
11680,강남 지웰파인즈, 세곡동 587,6층,2020 1 11,"22,500",24.66,2016
11680,강남 더샵라르고, 자곡동 596,5층,2020 1 3,"18,000",23.98,2014
11680,강남 더샵라르고, 자곡동 596,6층,2020 1 4,"16,800",23.28,2014
11680,강남 더샵라르고, 자곡동 596,10층,2020 1 8,"20,500",22.99,2014
11680,강남 푸르지오시티 1차, 자곡동 600,10층,2020 1 10,"17,500",25.06,2014
11680,강남 지웰홈스, 자곡동 662,3층,2020 1 10,"17,000",26.71,2014
11680,강남힐스테이트에코, 자곡동 658,5층,2020 1 17,"17,000",23.75,2014
11680,강남 더샵라르고, 자곡동 596,9층,2020 1 18,"18,500",23.98,2014
11680,강남 푸르지오시티 1차, 자곡동 600,8층,2020 1 22,"17,800",25.06,2014
11680,강남 지웰홈스, 자곡동 662,6층,2020 1 28,"17,500",23.72,2014
11680,사이룩스, 수서동 716,9층,2020 1 6,"26,300",42.13,2003
11680,사이룩스, 수서동 716,9층,2020 1 6,"22,000",33.52,2003
11680,사이룩스, 수서동 716,17층,2020 1 24,"26,900",42.13,2003
11680,사이룩스, 수서동 716,4층,2020 1 30,"24,000",42.13,2003
